epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8124,1.07416,2.39522,4.50815,1.20813,0,0,0,0,0,0,0,0,0.80253,1.90297,4.10103,0.94351,0.000101435,0.000101435,0.000101435
2,23.2108,0.87893,1.58399,4.21897,1.02002,0.02378,0.0791,0.02081,0.01752,0.02378,0.0791,0.02081,0.01721,0.76153,1.47834,3.99483,0.91345,0.000203731,0.000203731,0.000203731
3,34.8567,0.85528,1.46032,3.90244,1.00389,0.0433,0.40639,0.06989,0.05662,0.04348,0.40879,0.06991,0.05536,0.75656,1.40467,3.71707,0.94765,0.000303962,0.000303962,0.000303962
4,44.1555,0.84857,1.35797,3.57699,1.01968,0.46917,0.14941,0.10367,0.07958,0.46917,0.14941,0.10387,0.07923,0.81189,1.3492,3.037,1.01229,0.000303704,0.000303704,0.000303704
5,53.7753,0.84776,1.31938,3.29029,1.02827,0.35766,0.21312,0.16268,0.12819,0.35766,0.21312,0.16352,0.12465,0.80636,1.25509,2.62947,1.00064,0.000300605,0.000300605,0.000300605
6,63.5438,0.85287,1.26144,3.0004,1.03128,0.21861,0.35554,0.19775,0.15194,0.21979,0.35793,0.19899,0.14881,0.8057,1.29403,2.41631,1.03273,0.000297507,0.000297507,0.000297507
7,73.1589,0.8371,1.21989,2.70439,1.0225,0.40938,0.33457,0.29923,0.24098,0.40938,0.33457,0.30059,0.23883,0.78746,1.1825,2.15388,1.00768,0.000294408,0.000294408,0.000294408
8,82.6965,0.8111,1.21471,2.47666,1.01355,0.38073,0.4041,0.37088,0.29911,0.38073,0.4041,0.37181,0.29761,0.76194,1.15048,1.96001,1.00786,0.000291309,0.000291309,0.000291309
9,92.3306,0.77311,1.14579,2.25907,0.99066,0.54805,0.44704,0.46216,0.37756,0.54707,0.44581,0.46162,0.3654,0.75149,1.16984,1.78362,0.99752,0.00028821,0.00028821,0.00028821
10,101.782,0.7925,1.16722,2.1567,1.00487,0.53092,0.50824,0.50615,0.40746,0.53092,0.5082,0.50732,0.39715,0.74515,1.18763,1.63703,1.00246,0.000285112,0.000285112,0.000285112
11,111.355,0.76426,1.13969,1.97088,0.9773,0.54604,0.52186,0.51592,0.42376,0.55101,0.52823,0.51862,0.41117,0.7063,1.13152,1.60666,0.97127,0.000282013,0.000282013,0.000282013
12,120.908,0.73451,1.11048,1.80365,0.97166,0.57752,0.56778,0.59774,0.47879,0.57752,0.56778,0.59778,0.47036,0.73908,1.18296,1.46182,0.99149,0.000278914,0.000278914,0.000278914
13,130.647,0.75009,1.13422,1.79246,0.97159,0.63205,0.57488,0.61426,0.49099,0.63885,0.57654,0.6162,0.48257,0.74448,1.15403,1.39323,0.99423,0.000275816,0.000275816,0.000275816
14,140.2,0.71816,1.08969,1.67971,0.96996,0.69321,0.62235,0.68471,0.55834,0.691,0.62112,0.68313,0.54316,0.71931,1.13593,1.25321,0.9789,0.000272717,0.000272717,0.000272717
15,149.988,0.71396,1.07234,1.58055,0.95503,0.71104,0.62931,0.69307,0.56771,0.71104,0.62931,0.69307,0.55586,0.68958,1.08566,1.21974,0.95846,0.000269618,0.000269618,0.000269618
16,159.732,0.68306,1.06697,1.50815,0.9478,0.66267,0.62986,0.6857,0.56065,0.66368,0.6311,0.68805,0.55207,0.7165,1.0951,1.34945,0.97459,0.00026652,0.00026652,0.00026652
17,169.399,0.68902,1.06236,1.47414,0.94586,0.75253,0.64757,0.74211,0.60856,0.75461,0.64789,0.74284,0.59623,0.68561,1.08958,1.07099,0.96761,0.000263421,0.000263421,0.000263421
18,179.019,0.67105,1.04018,1.3768,0.9437,0.69948,0.6943,0.75369,0.62394,0.69948,0.6943,0.75437,0.60512,0.66771,1.10427,1.07472,0.94828,0.000260322,0.000260322,0.000260322
19,188.667,0.66539,1.02455,1.32046,0.94186,0.75746,0.68612,0.76954,0.62274,0.75746,0.68612,0.76954,0.60904,0.68623,1.08753,1.06631,0.96341,0.000257223,0.000257223,0.000257223
20,198.492,0.653,0.98762,1.2807,0.93628,0.72818,0.68208,0.75337,0.60953,0.72818,0.68208,0.75506,0.59667,0.69378,1.10354,1.07546,0.95277,0.000254125,0.000254125,0.000254125
21,208.298,0.66139,1.02714,1.24383,0.93092,0.71526,0.73433,0.78361,0.62801,0.71386,0.7331,0.78299,0.61064,0.6954,1.12336,1.06811,0.96148,0.000251026,0.000251026,0.000251026
22,218.181,0.65945,1.01805,1.21878,0.92484,0.79391,0.75144,0.82023,0.67343,0.79018,0.74768,0.81773,0.66343,0.68066,1.09114,0.94382,0.94908,0.000247927,0.000247927,0.000247927
23,227.925,0.64645,0.9996,1.18615,0.93028,0.76402,0.73975,0.81082,0.66057,0.76402,0.73975,0.81086,0.64081,0.67159,1.08176,0.96736,0.94538,0.000244829,0.000244829,0.000244829
24,237.506,0.61598,0.97133,1.14239,0.9251,0.78544,0.75988,0.82651,0.6855,0.79369,0.76701,0.83247,0.66307,0.65487,1.05881,0.89942,0.95199,0.00024173,0.00024173,0.00024173
25,247.223,0.61781,0.97862,1.11856,0.92259,0.79852,0.76276,0.84124,0.69011,0.80004,0.76666,0.84554,0.66633,0.66149,1.09295,0.90822,0.94523,0.000238631,0.000238631,0.000238631
26,257.011,0.6341,0.98964,1.12227,0.91817,0.83638,0.7908,0.86482,0.7211,0.83817,0.7919,0.8642,0.6984,0.62462,1.0504,0.83062,0.93214,0.000235533,0.000235533,0.000235533
27,266.873,0.61512,0.94718,1.06815,0.91346,0.83178,0.77809,0.85588,0.70411,0.8346,0.77691,0.85462,0.6801,0.65762,1.031,0.86007,0.94818,0.000232434,0.000232434,0.000232434
28,276.447,0.60373,0.9417,1.04758,0.91221,0.84364,0.77419,0.86985,0.71616,0.83956,0.76943,0.86473,0.68784,0.66636,1.05317,0.80423,0.95476,0.000229335,0.000229335,0.000229335
29,286.257,0.62198,0.9668,1.04963,0.91003,0.83106,0.80967,0.87275,0.72156,0.82999,0.80844,0.87051,0.69596,0.65287,1.07446,0.81968,0.94408,0.000226236,0.000226236,0.000226236
30,295.932,0.60946,0.94227,1.00025,0.91146,0.80208,0.83493,0.86952,0.72294,0.80208,0.83493,0.87098,0.69646,0.64703,1.03838,0.80937,0.93432,0.000223138,0.000223138,0.000223138
31,305.668,0.61059,0.94895,0.98899,0.91179,0.84872,0.78095,0.87101,0.72148,0.84731,0.78552,0.86872,0.69092,0.6413,1.08356,0.78976,0.93536,0.000220039,0.000220039,0.000220039
32,315.371,0.60017,0.95409,0.9833,0.90715,0.82058,0.82539,0.87699,0.72612,0.82129,0.82584,0.87928,0.71079,0.64888,1.04411,0.79513,0.9303,0.00021694,0.00021694,0.00021694
33,325.076,0.59197,0.92191,0.96855,0.90809,0.83658,0.81287,0.88032,0.72783,0.83734,0.81669,0.87925,0.70519,0.63986,1.05702,0.76868,0.9344,0.000213842,0.000213842,0.000213842
34,334.671,0.56821,0.89376,0.92822,0.89928,0.84987,0.81987,0.89062,0.73549,0.85548,0.82458,0.89382,0.71761,0.64644,1.04259,0.75474,0.94105,0.000210743,0.000210743,0.000210743
35,344.297,0.59159,0.91065,0.93559,0.90288,0.80702,0.84626,0.88808,0.73912,0.80896,0.84787,0.88941,0.71755,0.63641,1.04467,0.75656,0.93416,0.000207644,0.000207644,0.000207644
36,353.827,0.56153,0.90048,0.89197,0.89956,0.83449,0.8502,0.89131,0.74176,0.83449,0.8502,0.89161,0.71524,0.62468,1.0335,0.74627,0.91808,0.000204545,0.000204545,0.000204545
37,363.637,0.58152,0.92777,0.8954,0.90415,0.83828,0.81279,0.88717,0.73261,0.83852,0.81324,0.8884,0.71079,0.6452,1.06219,0.77647,0.93292,0.000201447,0.000201447,0.000201447
38,373.31,0.56818,0.916,0.87786,0.89486,0.87256,0.82864,0.89955,0.73355,0.87118,0.82777,0.89834,0.71252,0.64731,1.0591,0.74956,0.93703,0.000198348,0.000198348,0.000198348
39,383.007,0.56411,0.90751,0.85825,0.89568,0.83457,0.84465,0.88977,0.73939,0.83679,0.84626,0.89178,0.71418,0.63613,1.05372,0.75245,0.94437,0.000195249,0.000195249,0.000195249
40,392.776,0.54453,0.86601,0.83777,0.89425,0.84568,0.84724,0.89626,0.7438,0.84425,0.84627,0.8904,0.72201,0.62072,1.02955,0.72047,0.92712,0.000192151,0.000192151,0.000192151
41,402.447,0.55054,0.88629,0.84692,0.89174,0.85163,0.84299,0.89476,0.75537,0.85163,0.84299,0.89489,0.73293,0.61471,1.01622,0.75691,0.91893,0.000189052,0.000189052,0.000189052
42,411.989,0.55891,0.88594,0.84676,0.8941,0.84533,0.86097,0.90426,0.75932,0.84424,0.85974,0.90193,0.73612,0.61986,1.02606,0.68924,0.91857,0.000185953,0.000185953,0.000185953
43,421.534,0.55883,0.88197,0.83666,0.89437,0.84211,0.86556,0.90255,0.75839,0.84104,0.86433,0.90041,0.73299,0.61913,1.01922,0.68884,0.92666,0.000182855,0.000182855,0.000182855
44,431.026,0.54514,0.88533,0.81791,0.89097,0.86064,0.83889,0.90149,0.74956,0.85949,0.83765,0.89918,0.73055,0.63915,1.0546,0.72618,0.93388,0.000179756,0.000179756,0.000179756
45,440.9,0.55353,0.89881,0.83651,0.88308,0.87858,0.8614,0.91019,0.75361,0.87738,0.86016,0.90765,0.72899,0.6347,1.03204,0.68458,0.94118,0.000176657,0.000176657,0.000176657
46,450.639,0.54342,0.86967,0.79611,0.8822,0.86053,0.87622,0.90489,0.76195,0.86053,0.87622,0.90483,0.73174,0.61272,1.05095,0.68658,0.91822,0.000173559,0.000173559,0.000173559
47,460.249,0.53569,0.87072,0.79538,0.88515,0.86643,0.85555,0.90455,0.75797,0.86384,0.85263,0.90061,0.7327,0.60962,1.06062,0.67579,0.92833,0.00017046,0.00017046,0.00017046
48,469.999,0.52915,0.86804,0.79072,0.88249,0.85162,0.8772,0.90422,0.76662,0.85557,0.86843,0.9026,0.7376,0.61134,1.03515,0.67957,0.92204,0.000167361,0.000167361,0.000167361
49,479.682,0.53321,0.87294,0.79071,0.8835,0.86175,0.86447,0.91304,0.76969,0.8657,0.86566,0.91259,0.74369,0.60193,1.01047,0.67098,0.91588,0.000164262,0.000164262,0.000164262
50,489.207,0.50276,0.82202,0.75508,0.8761,0.85299,0.86698,0.90248,0.76804,0.85182,0.86574,0.90108,0.73454,0.5972,1.01892,0.67015,0.91435,0.000161164,0.000161164,0.000161164
51,498.917,0.54376,0.86299,0.77538,0.88654,0.86633,0.86907,0.91521,0.75774,0.86633,0.86907,0.91688,0.7307,0.62892,1.04681,0.65505,0.92836,0.000158065,0.000158065,0.000158065
52,508.611,0.5256,0.85295,0.76339,0.88299,0.87934,0.86544,0.91625,0.76888,0.8778,0.86464,0.91449,0.74644,0.61141,1.04862,0.64384,0.92682,0.000154966,0.000154966,0.000154966
53,518.394,0.52283,0.83883,0.73715,0.87497,0.81781,0.88362,0.90729,0.76431,0.81688,0.88239,0.90528,0.73875,0.6066,1.03264,0.69212,0.92432,0.000151868,0.000151868,0.000151868
54,528.228,0.51575,0.8407,0.73753,0.87896,0.84609,0.89749,0.92616,0.77931,0.84609,0.89749,0.92653,0.75256,0.60551,1.02591,0.63439,0.9155,0.000148769,0.000148769,0.000148769
55,537.905,0.50491,0.84251,0.72046,0.87383,0.87316,0.88109,0.92356,0.78386,0.87499,0.88227,0.92216,0.75385,0.59317,1.02041,0.63949,0.91276,0.00014567,0.00014567,0.00014567
56,547.568,0.50987,0.8356,0.72952,0.8775,0.86844,0.86045,0.91944,0.77305,0.86693,0.85798,0.91696,0.74604,0.60241,1.01842,0.65248,0.91258,0.000142572,0.000142572,0.000142572
57,557.289,0.50743,0.82171,0.72476,0.87243,0.85235,0.88061,0.91013,0.76729,0.85342,0.88229,0.91355,0.73527,0.59834,1.04183,0.64942,0.90764,0.000139473,0.000139473,0.000139473
58,566.97,0.49518,0.80092,0.70695,0.87505,0.88837,0.87104,0.91262,0.77001,0.88848,0.87148,0.91381,0.74491,0.59931,1.0157,0.65652,0.90927,0.000136374,0.000136374,0.000136374
59,576.66,0.51553,0.84693,0.72622,0.87637,0.88014,0.8684,0.90986,0.77107,0.88476,0.86894,0.91238,0.73988,0.60378,1.03047,0.64623,0.91553,0.000133275,0.000133275,0.000133275
60,586.276,0.49715,0.81989,0.70356,0.87069,0.88768,0.86847,0.91468,0.78144,0.89015,0.85939,0.91371,0.74815,0.58856,1.03713,0.64799,0.91081,0.000130177,0.000130177,0.000130177
61,596.003,0.50186,0.81915,0.71279,0.8684,0.8739,0.86837,0.915,0.78252,0.86974,0.86448,0.91218,0.7477,0.58374,1.01091,0.65189,0.90718,0.000127078,0.000127078,0.000127078
62,605.642,0.49652,0.82232,0.72599,0.87886,0.88721,0.8687,0.92148,0.78648,0.88742,0.86915,0.92154,0.75186,0.58078,1.03299,0.62915,0.90351,0.000123979,0.000123979,0.000123979
63,615.361,0.49154,0.7986,0.68715,0.87637,0.885,0.8906,0.92667,0.79504,0.88459,0.89207,0.92509,0.75806,0.5858,1.02218,0.61778,0.91376,0.000120881,0.000120881,0.000120881
64,625.217,0.49099,0.80363,0.68286,0.86627,0.85146,0.8975,0.92247,0.78268,0.85286,0.89927,0.92144,0.74644,0.58553,1.01712,0.62324,0.91236,0.000117782,0.000117782,0.000117782
65,634.883,0.48688,0.79605,0.68619,0.87463,0.85366,0.89867,0.91513,0.77908,0.85403,0.89912,0.91654,0.74224,0.59012,1.01626,0.64362,0.91279,0.000114683,0.000114683,0.000114683
66,644.491,0.49096,0.78892,0.67235,0.86791,0.87942,0.89208,0.92118,0.77681,0.87831,0.89085,0.91878,0.74694,0.58979,1.03469,0.61573,0.90955,0.000111585,0.000111585,0.000111585
67,654.041,0.48819,0.80738,0.67834,0.87104,0.89307,0.88376,0.92476,0.78647,0.89191,0.88253,0.92291,0.75763,0.58119,1.01029,0.60206,0.90656,0.000108486,0.000108486,0.000108486
68,663.599,0.48074,0.79666,0.66811,0.8679,0.87456,0.86898,0.91879,0.7911,0.87546,0.86923,0.91983,0.75358,0.57864,1.00802,0.61025,0.90257,0.000105387,0.000105387,0.000105387
69,673.207,0.47701,0.78165,0.67319,0.86259,0.87917,0.87658,0.92608,0.79018,0.87936,0.87703,0.92725,0.75308,0.57902,1.02066,0.59099,0.89985,0.000102288,0.000102288,0.000102288
70,683.012,0.48142,0.77846,0.65656,0.86725,0.88985,0.89444,0.93181,0.79801,0.89164,0.89583,0.93054,0.76159,0.56517,0.99961,0.5833,0.89798,9.91897e-05,9.91897e-05,9.91897e-05
71,692.694,0.47732,0.77583,0.66046,0.87086,0.88627,0.87884,0.92645,0.79417,0.8899,0.88167,0.92917,0.75883,0.57147,1.01145,0.59702,0.9001,9.6091e-05,9.6091e-05,9.6091e-05
72,702.511,0.46823,0.7786,0.64551,0.86374,0.87873,0.88893,0.92214,0.78873,0.89541,0.87579,0.9248,0.74906,0.57461,1.03933,0.60529,0.90286,9.29923e-05,9.29923e-05,9.29923e-05
73,712.13,0.4689,0.77109,0.64915,0.86831,0.87766,0.8803,0.91987,0.79208,0.88064,0.8836,0.92284,0.75221,0.57107,1.03235,0.61374,0.89581,8.98936e-05,8.98936e-05,8.98936e-05
74,721.944,0.4735,0.77089,0.65188,0.86082,0.88528,0.89408,0.92587,0.79233,0.88393,0.89314,0.92333,0.75201,0.56983,1.03731,0.58991,0.9046,8.67949e-05,8.67949e-05,8.67949e-05
75,731.871,0.46878,0.7694,0.6431,0.86625,0.87758,0.89494,0.92157,0.79403,0.8778,0.89538,0.92312,0.7581,0.56681,1.00995,0.59693,0.89872,8.36962e-05,8.36962e-05,8.36962e-05
76,741.682,0.47215,0.78933,0.65569,0.86554,0.89267,0.87234,0.92547,0.79658,0.89285,0.87279,0.92561,0.75466,0.56854,1.01248,0.58495,0.9024,8.05975e-05,8.05975e-05,8.05975e-05
77,751.394,0.47934,0.78288,0.64165,0.85533,0.89261,0.88668,0.92744,0.79117,0.89274,0.88713,0.92752,0.75374,0.57846,1.0235,0.58468,0.90495,7.74988e-05,7.74988e-05,7.74988e-05
78,760.97,0.4611,0.76649,0.62751,0.85925,0.8896,0.88816,0.92457,0.79122,0.88975,0.88861,0.92454,0.74868,0.57875,1.03298,0.58717,0.90408,7.44001e-05,7.44001e-05,7.44001e-05
79,770.855,0.46923,0.77151,0.62348,0.86309,0.8987,0.87746,0.92308,0.78908,0.89927,0.87773,0.92351,0.75839,0.5788,1.03158,0.58441,0.91,7.13014e-05,7.13014e-05,7.13014e-05
80,780.518,0.46773,0.76979,0.63738,0.86349,0.88057,0.87874,0.92947,0.79999,0.88105,0.87906,0.92989,0.76476,0.57029,1.00584,0.58685,0.89969,6.82027e-05,6.82027e-05,6.82027e-05
81,790.355,0.46449,0.77161,0.62004,0.86461,0.90207,0.88213,0.93704,0.80564,0.90381,0.88359,0.93528,0.76636,0.56323,1.00655,0.56605,0.89849,6.5104e-05,6.5104e-05,6.5104e-05
82,799.96,0.46287,0.76898,0.61818,0.86186,0.89369,0.88544,0.93275,0.8038,0.8967,0.88874,0.93459,0.76278,0.56686,1.00313,0.5692,0.90297,6.20053e-05,6.20053e-05,6.20053e-05
83,809.578,0.44595,0.76207,0.61396,0.86017,0.89498,0.87902,0.92592,0.79726,0.89794,0.88232,0.9284,0.76204,0.57003,1.00795,0.58384,0.90732,5.89066e-05,5.89066e-05,5.89066e-05
84,819.274,0.45116,0.76787,0.61009,0.85554,0.89513,0.88799,0.9282,0.79916,0.89541,0.88844,0.92992,0.76191,0.56759,1.01217,0.57042,0.90495,5.58079e-05,5.58079e-05,5.58079e-05
85,828.995,0.46563,0.76441,0.61182,0.86107,0.90249,0.8766,0.92281,0.793,0.90284,0.87705,0.92437,0.75267,0.57691,1.04261,0.56427,0.9091,5.27092e-05,5.27092e-05,5.27092e-05
86,838.651,0.44266,0.73331,0.60062,0.85802,0.89887,0.87788,0.92431,0.79663,0.89941,0.87824,0.92551,0.75772,0.57163,1.01078,0.56739,0.90618,4.96105e-05,4.96105e-05,4.96105e-05
87,848.371,0.45258,0.75523,0.61208,0.85867,0.8989,0.88642,0.92974,0.79788,0.89769,0.88518,0.92772,0.75819,0.56786,1.01969,0.56352,0.90401,4.65118e-05,4.65118e-05,4.65118e-05
88,858.001,0.45002,0.76048,0.60297,0.85556,0.89472,0.88268,0.92599,0.79575,0.89225,0.88028,0.92701,0.76239,0.56872,1.01868,0.56486,0.9054,4.34131e-05,4.34131e-05,4.34131e-05
89,867.612,0.44716,0.73757,0.61057,0.86363,0.89851,0.88114,0.92673,0.79345,0.89597,0.87874,0.92786,0.75671,0.56689,1.02396,0.56791,0.90642,4.03144e-05,4.03144e-05,4.03144e-05
90,877.373,0.44735,0.7487,0.60286,0.85945,0.89551,0.89227,0.92783,0.79982,0.89578,0.89272,0.93004,0.76031,0.56319,1.02869,0.5678,0.90791,3.72157e-05,3.72157e-05,3.72157e-05
91,913.358,0.43722,0.76683,0.71771,0.85429,0.87294,0.87685,0.91735,0.78268,0.87316,0.8773,0.91826,0.74696,0.58185,1.05137,0.62961,0.91877,3.4117e-05,3.4117e-05,3.4117e-05
92,922.396,0.39869,0.69854,0.61902,0.83647,0.84815,0.88984,0.91561,0.7808,0.84842,0.89029,0.91434,0.74935,0.58002,1.04509,0.61769,0.91831,3.10183e-05,3.10183e-05,3.10183e-05
93,931.278,0.40557,0.69754,0.60588,0.83947,0.84751,0.89955,0.92135,0.78502,0.84972,0.90136,0.9215,0.7508,0.5776,1.05165,0.60162,0.90898,2.79196e-05,2.79196e-05,2.79196e-05
94,940.388,0.3904,0.67621,0.58827,0.83004,0.86627,0.89253,0.92612,0.78822,0.86875,0.89292,0.92608,0.7523,0.57906,1.05471,0.59467,0.90889,2.48209e-05,2.48209e-05,2.48209e-05
95,949.439,0.38507,0.68117,0.57193,0.8287,0.86525,0.8936,0.92929,0.79591,0.86743,0.89566,0.93016,0.75256,0.57566,1.05052,0.59374,0.9098,2.17222e-05,2.17222e-05,2.17222e-05
96,958.495,0.38204,0.66347,0.58077,0.82742,0.88645,0.8829,0.93331,0.79392,0.88524,0.88166,0.93116,0.75619,0.57986,1.06181,0.58509,0.91204,1.86235e-05,1.86235e-05,1.86235e-05
97,967.458,0.37384,0.65105,0.56156,0.82381,0.88628,0.88403,0.93465,0.79303,0.88513,0.8828,0.9325,0.75859,0.58135,1.06335,0.58031,0.91331,1.55248e-05,1.55248e-05,1.55248e-05
98,976.752,0.38101,0.66388,0.56343,0.82225,0.88084,0.88683,0.93297,0.79901,0.88127,0.88728,0.93383,0.75757,0.574,1.05517,0.58475,0.91214,1.24261e-05,1.24261e-05,1.24261e-05
99,985.962,0.3757,0.67026,0.56309,0.82291,0.88359,0.88951,0.93655,0.79638,0.88248,0.88827,0.9345,0.75918,0.5771,1.05821,0.58375,0.91372,9.3274e-06,9.3274e-06,9.3274e-06
100,995.059,0.37272,0.65468,0.56889,0.82458,0.88439,0.89318,0.93539,0.79554,0.88282,0.89223,0.9333,0.75893,0.57704,1.05676,0.57941,0.91359,6.2287e-06,6.2287e-06,6.2287e-06
