epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4777,1.09778,2.51644,4.5368,1.22123,0,0,0,0,0,0,0,0,0.73947,1.61284,4.06967,0.92204,0.000101435,0.000101435,0.000101435
2,20.2599,0.88568,1.63193,4.2265,1.01907,0.06462,0.06016,0.04057,0.03504,0.06462,0.06016,0.04057,0.03354,0.719,1.42569,3.92628,0.90826,0.000203731,0.000203731,0.000203731
3,29.6815,0.84357,1.45017,3.89187,1.00799,0.03962,0.49068,0.09212,0.07456,0.04015,0.49461,0.0927,0.07426,0.72867,1.23347,3.57343,0.94612,0.000303962,0.000303962,0.000303962
4,39.1028,0.85428,1.39234,3.58695,1.0205,0.45283,0.14092,0.12996,0.10425,0.45283,0.14092,0.13024,0.10313,0.76159,1.23055,3.09167,1.00498,0.000303704,0.000303704,0.000303704
5,48.3434,0.8621,1.32516,3.29358,1.01997,0.29137,0.23307,0.18968,0.1558,0.29137,0.23307,0.19004,0.15601,0.75895,1.13287,2.48275,1.01449,0.000300605,0.000300605,0.000300605
6,57.7002,0.86339,1.27557,2.99076,1.03403,0.38246,0.28969,0.23907,0.19719,0.38246,0.28969,0.23941,0.19386,0.75945,1.10412,2.31032,1.03348,0.000297507,0.000297507,0.000297507
7,67.0131,0.83579,1.25285,2.71694,1.01842,0.3568,0.30199,0.25934,0.21565,0.3568,0.30199,0.25959,0.2112,0.76857,1.08627,2.15383,1.03194,0.000294408,0.000294408,0.000294408
8,76.5435,0.82152,1.24942,2.49959,1.01693,0.40289,0.44529,0.36506,0.30501,0.40289,0.44529,0.36542,0.29797,0.74566,1.09879,1.99491,1.03328,0.000291309,0.000291309,0.000291309
9,86.1043,0.81716,1.21828,2.34528,1.00023,0.5743,0.40595,0.45616,0.37847,0.5743,0.40595,0.457,0.36869,0.73685,1.10414,1.73381,1.02549,0.00028821,0.00028821,0.00028821
10,95.5637,0.78213,1.19676,2.14604,0.99633,0.43851,0.56143,0.49658,0.41119,0.43586,0.56291,0.49728,0.40063,0.75525,1.092,1.64627,1.03725,0.000285112,0.000285112,0.000285112
11,105.089,0.79392,1.18897,2.04115,0.98744,0.64527,0.49889,0.59921,0.50085,0.64527,0.49889,0.59903,0.48419,0.68883,1.0222,1.5046,0.97986,0.000282013,0.000282013,0.000282013
12,114.635,0.75756,1.16625,1.83921,0.96918,0.51972,0.60283,0.61422,0.51796,0.51972,0.60283,0.6143,0.49696,0.68146,1.0224,1.44369,0.99474,0.000278914,0.000278914,0.000278914
