epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,606.059,0.68843,1.08308,1.15083,0.95638,0.72793,0.7597,0.79926,0.6588,0.72813,0.76064,0.79889,0.61061,0.60782,0.95836,0.91086,0.90546,0.000134738,0.000134738,0.000134738
31,625.894,0.66245,1.05565,1.12022,0.95244,0.74676,0.83061,0.83204,0.69524,0.74916,0.83407,0.83435,0.64775,0.57598,0.95876,0.84317,0.89097,0.000132867,0.000132867,0.000132867
32,645.827,0.66276,1.07231,1.09226,0.94629,0.75318,0.76578,0.82453,0.68809,0.75451,0.76697,0.82651,0.64717,0.58659,0.95014,0.84552,0.89226,0.000130996,0.000130996,0.000130996
33,665.759,0.66278,1.06349,1.10476,0.94307,0.76664,0.76823,0.83265,0.69503,0.76911,0.77549,0.83393,0.65489,0.59599,0.96444,0.86361,0.90421,0.000129125,0.000129125,0.000129125
34,685.662,0.65287,1.05612,1.08179,0.9429,0.7438,0.81186,0.83294,0.69865,0.74696,0.81158,0.83199,0.65396,0.57996,0.95455,0.83354,0.89404,0.000127254,0.000127254,0.000127254
35,705.802,0.64214,1.04916,1.05167,0.93024,0.78669,0.78194,0.82759,0.69216,0.78598,0.78261,0.82644,0.64522,0.58954,0.94147,0.83424,0.8994,0.000125383,0.000125383,0.000125383
36,725.898,0.64992,1.04799,1.05583,0.93571,0.7924,0.77956,0.84186,0.70484,0.79347,0.78054,0.84309,0.66101,0.58097,0.94759,0.81315,0.89413,0.000123512,0.000123512,0.000123512
37,746.031,0.6456,1.05103,1.05522,0.93387,0.78463,0.79929,0.84291,0.70568,0.78504,0.79884,0.84361,0.65545,0.58589,0.96181,0.81865,0.89918,0.00012164,0.00012164,0.00012164
38,765.88,0.64638,1.03402,1.03085,0.93263,0.79797,0.78448,0.84548,0.71019,0.79885,0.78466,0.84724,0.6673,0.58268,0.95106,0.79796,0.8887,0.000119769,0.000119769,0.000119769
39,785.859,0.64559,1.02372,1.02984,0.93867,0.80724,0.79379,0.84982,0.7181,0.80812,0.79545,0.84993,0.66207,0.57399,0.94223,0.78589,0.88708,0.000117898,0.000117898,0.000117898
40,805.897,0.63375,1.02177,1.00151,0.92898,0.77169,0.84303,0.85534,0.72118,0.77266,0.84494,0.85653,0.67334,0.5719,0.92312,0.77878,0.89126,0.000116027,0.000116027,0.000116027
41,825.781,0.62708,1.02927,0.98375,0.92838,0.80003,0.80537,0.84937,0.71413,0.79782,0.811,0.84994,0.66172,0.56116,0.93459,0.75831,0.87963,0.000114156,0.000114156,0.000114156
42,845.685,0.62133,1.00462,0.97259,0.92679,0.80986,0.82158,0.8565,0.72169,0.81075,0.82268,0.85743,0.6713,0.56102,0.91875,0.75315,0.88164,0.000112285,0.000112285,0.000112285
43,865.762,0.61694,1.01359,0.96823,0.92882,0.80116,0.82396,0.85863,0.7252,0.79935,0.8261,0.85891,0.67518,0.56924,0.93736,0.7565,0.88586,0.000110414,0.000110414,0.000110414
44,885.817,0.62177,0.99915,0.94832,0.92635,0.81352,0.81079,0.86367,0.73223,0.81435,0.81022,0.86202,0.67419,0.56198,0.92785,0.75006,0.88243,0.000108543,0.000108543,0.000108543
45,905.949,0.61906,1.00491,0.94106,0.9223,0.76346,0.83043,0.852,0.72268,0.76146,0.82927,0.84766,0.6661,0.55151,0.92445,0.76207,0.87714,0.000106672,0.000106672,0.000106672
46,925.921,0.61109,0.98651,0.92159,0.92426,0.80272,0.80904,0.85089,0.72607,0.80241,0.80828,0.84994,0.66704,0.55769,0.91964,0.74253,0.8794,0.000104801,0.000104801,0.000104801
47,946.175,0.59803,0.99373,0.92107,0.92074,0.77858,0.83293,0.85778,0.72916,0.7789,0.83321,0.8566,0.67605,0.55406,0.91915,0.73997,0.87875,0.000102929,0.000102929,0.000102929
48,966.278,0.60476,0.98573,0.90007,0.91695,0.79808,0.8332,0.8621,0.73025,0.79812,0.83299,0.86069,0.67938,0.55923,0.90251,0.729,0.88374,0.000101058,0.000101058,0.000101058
49,986.419,0.59752,1.00343,0.89618,0.91728,0.78591,0.84199,0.8617,0.73661,0.78722,0.84356,0.86168,0.68696,0.55017,0.91399,0.72143,0.87392,9.91872e-05,9.91872e-05,9.91872e-05
50,1006.25,0.58849,0.97351,0.87906,0.91534,0.792,0.8388,0.86591,0.74047,0.7938,0.83992,0.86694,0.68509,0.54413,0.91866,0.72288,0.87101,9.73161e-05,9.73161e-05,9.73161e-05
51,1026.35,0.60098,0.98026,0.90027,0.91495,0.80309,0.83472,0.86587,0.73185,0.80514,0.83602,0.86691,0.67978,0.55136,0.92075,0.72015,0.87761,9.5445e-05,9.5445e-05,9.5445e-05
52,1046.41,0.59246,0.98111,0.87088,0.91911,0.81567,0.83294,0.87016,0.74037,0.81512,0.83246,0.87058,0.68733,0.54499,0.89872,0.7087,0.8757,9.35739e-05,9.35739e-05,9.35739e-05
53,1066.46,0.60882,0.99297,0.88083,0.92145,0.82608,0.83712,0.87818,0.74511,0.82608,0.83712,0.87774,0.69415,0.54359,0.89735,0.70663,0.87404,9.17028e-05,9.17028e-05,9.17028e-05
54,1086.46,0.59735,0.9865,0.87575,0.91778,0.84112,0.81128,0.87793,0.74933,0.83798,0.80806,0.87496,0.69482,0.54654,0.89333,0.70833,0.87423,8.98317e-05,8.98317e-05,8.98317e-05
55,1106.44,0.58328,0.94776,0.86013,0.91475,0.80963,0.85192,0.87804,0.74747,0.80915,0.85145,0.87725,0.6941,0.5475,0.91197,0.70495,0.87619,8.79606e-05,8.79606e-05,8.79606e-05
56,1126.54,0.59678,0.98371,0.85394,0.91297,0.81243,0.84835,0.8794,0.74877,0.81186,0.84765,0.87841,0.69717,0.53388,0.91149,0.69145,0.86872,8.60895e-05,8.60895e-05,8.60895e-05
57,1146.6,0.59718,0.97131,0.85188,0.91491,0.84026,0.84122,0.88406,0.75719,0.83921,0.84205,0.88282,0.70321,0.52947,0.90276,0.68436,0.86284,8.42184e-05,8.42184e-05,8.42184e-05
58,1166.48,0.5761,0.96283,0.83845,0.9157,0.82551,0.84861,0.8899,0.75954,0.82475,0.84766,0.88951,0.70717,0.53951,0.89347,0.68045,0.86903,8.23473e-05,8.23473e-05,8.23473e-05
59,1186.56,0.58735,0.95087,0.85488,0.91053,0.80777,0.85471,0.88115,0.75589,0.80731,0.85234,0.8807,0.70032,0.53577,0.90054,0.69734,0.86849,8.04762e-05,8.04762e-05,8.04762e-05
60,1206.53,0.57275,0.94714,0.83271,0.90585,0.85403,0.83742,0.88778,0.76229,0.8536,0.83694,0.88732,0.70269,0.53403,0.90786,0.67591,0.87116,7.86051e-05,7.86051e-05,7.86051e-05
61,1226.53,0.56957,0.94105,0.83092,0.91042,0.84607,0.84111,0.89268,0.76774,0.85065,0.83104,0.89247,0.70857,0.52464,0.9019,0.67685,0.86392,7.6734e-05,7.6734e-05,7.6734e-05
62,1246.63,0.5742,0.94425,0.83502,0.90658,0.85485,0.83321,0.89143,0.76547,0.85528,0.83232,0.8907,0.7124,0.53161,0.89105,0.66042,0.87109,7.48629e-05,7.48629e-05,7.48629e-05
