epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.126,1.18708,2.73663,4.8099,1.2801,0,0,0,0,0,0,0,0,0.90672,2.13689,4.46087,1.04129,6.20735e-05,6.20735e-05,6.20735e-05
2,77.9796,0.93073,1.79667,4.4891,1.0663,0.0227,0.16561,0.03202,0.02378,0.02242,0.16151,0.03006,0.0195,0.91866,1.69585,4.18944,1.06307,0.000123835,0.000123835,0.000123835
3,112.615,0.91241,1.59062,4.16822,1.05736,0.49783,0.07784,0.07163,0.0575,0.4993,0.07902,0.0729,0.04842,0.93312,1.66334,3.6409,1.05674,0.00018435,0.00018435,0.00018435
4,132.483,0.92477,1.52002,3.75734,1.07513,0.34573,0.17847,0.11088,0.08221,0.34603,0.18032,0.11118,0.07532,0.95127,1.55385,3.1929,1.08938,0.000183387,0.000183387,0.000183387
5,152.512,0.93844,1.45071,3.40532,1.07812,0.39256,0.18299,0.15888,0.1209,0.39171,0.1853,0.1603,0.10988,0.97021,1.48768,2.83599,1.11586,0.000181516,0.000181516,0.000181516
6,172.597,0.93391,1.39686,3.03746,1.08609,0.42713,0.2615,0.22222,0.16892,0.42915,0.26281,0.22513,0.15505,0.92162,1.45935,2.44322,1.07351,0.000179645,0.000179645,0.000179645
7,192.49,0.9063,1.35432,2.77248,1.06602,0.31279,0.30575,0.27439,0.21298,0.31128,0.30645,0.2732,0.19258,0.90689,1.38932,2.22581,1.07312,0.000177773,0.000177773,0.000177773
8,212.514,0.87377,1.32445,2.57918,1.05979,0.38386,0.35846,0.32749,0.25691,0.38481,0.3584,0.32841,0.2344,0.86986,1.37283,2.05174,1.06885,0.000175902,0.000175902,0.000175902
9,232.698,0.85388,1.27885,2.35702,1.04732,0.4296,0.37213,0.37853,0.29242,0.43198,0.37442,0.37972,0.2744,0.88047,1.34183,1.84101,1.0635,0.000174031,0.000174031,0.000174031
10,252.744,0.83044,1.26977,2.17644,1.0352,0.43612,0.42577,0.40225,0.30951,0.43433,0.42448,0.40259,0.29159,0.86123,1.32136,1.87348,1.04578,0.00017216,0.00017216,0.00017216
11,273.117,0.81887,1.25922,2.05396,1.03508,0.48115,0.43874,0.45547,0.35646,0.48185,0.4426,0.45744,0.32738,0.82129,1.3063,1.66065,1.01439,0.000170289,0.000170289,0.000170289
12,293.295,0.7975,1.22324,1.93062,1.01785,0.51302,0.4776,0.49701,0.39,0.51223,0.47825,0.49666,0.36604,0.81588,1.31478,1.57304,1.02464,0.000168418,0.000168418,0.000168418
