epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3327,1.19135,2.79664,4.81582,1.27644,0,0,0,0,0,0,0,0,0.84896,1.91214,4.39851,1.02535,6.20735e-05,6.20735e-05,6.20735e-05
2,62.7851,0.96418,1.84751,4.52764,1.0772,0.04436,0.24443,0.04798,0.03858,0.04423,0.24067,0.04717,0.03306,0.81963,1.49429,4.04899,0.99038,0.000123835,0.000123835,0.000123835
3,99.6437,0.93382,1.67014,4.20654,1.06073,0.60726,0.0795,0.0927,0.06566,0.60763,0.07963,0.09337,0.06977,0.81648,1.37852,3.63217,1.0136,0.00018435,0.00018435,0.00018435
4,135.956,0.95057,1.55644,3.845,1.07258,0.33207,0.16886,0.11673,0.08709,0.33243,0.16906,0.11727,0.08177,0.86028,1.3097,3.08771,1.05795,0.000183387,0.000183387,0.000183387
5,172.948,0.9546,1.51414,3.43222,1.07305,0.36035,0.19054,0.18966,0.14469,0.36064,0.19074,0.19007,0.13539,0.84157,1.25746,2.66282,1.04441,0.000181516,0.000181516,0.000181516
6,209.228,0.94758,1.43929,3.09331,1.0769,0.31343,0.28456,0.24315,0.18443,0.31492,0.28787,0.24474,0.17389,0.83734,1.20487,2.47137,1.03758,0.000179645,0.000179645,0.000179645
7,245.936,0.93768,1.39847,2.84686,1.0636,0.4039,0.31191,0.29737,0.23226,0.38318,0.31396,0.30115,0.21709,0.80285,1.19634,2.19371,1.0335,0.000177773,0.000177773,0.000177773
8,283.305,0.8905,1.34848,2.61238,1.05558,0.41154,0.38429,0.37643,0.29547,0.41188,0.38485,0.37821,0.2786,0.78244,1.13805,2.01787,1.02499,0.000175902,0.000175902,0.000175902
9,322.018,0.89071,1.34712,2.40838,1.05579,0.51543,0.40242,0.42418,0.32952,0.51318,0.40881,0.42628,0.31456,0.77624,1.12482,1.87867,1.0203,0.000174031,0.000174031,0.000174031
10,359.484,0.84711,1.29853,2.23576,1.02941,0.4992,0.45513,0.47465,0.37621,0.49036,0.46054,0.47624,0.35986,0.75502,1.08279,1.67994,1.02486,0.00017216,0.00017216,0.00017216
11,396.553,0.84945,1.27678,2.11366,1.03835,0.55783,0.4722,0.52367,0.41485,0.5519,0.47508,0.52531,0.39037,0.76081,1.1472,1.61557,1.01521,0.000170289,0.000170289,0.000170289
12,433.856,0.81755,1.26507,1.94519,1.02475,0.52832,0.52722,0.55993,0.44622,0.52988,0.52939,0.56034,0.42279,0.74724,1.10925,1.51135,1.01118,0.000168418,0.000168418,0.000168418
13,470.713,0.81071,1.25276,1.89088,1.01331,0.58955,0.55157,0.59762,0.48017,0.59143,0.55772,0.60242,0.46228,0.73041,1.08539,1.35939,0.99871,0.000166547,0.000166547,0.000166547
14,507.601,0.79863,1.25271,1.80834,1.0166,0.58751,0.59484,0.62669,0.49786,0.59074,0.60477,0.63409,0.47741,0.71877,1.08097,1.32366,0.99643,0.000164676,0.000164676,0.000164676
15,544.199,0.76695,1.21673,1.72146,1.00636,0.60491,0.57913,0.65109,0.51637,0.61401,0.58358,0.65753,0.50172,0.72675,1.05169,1.25888,1.00163,0.000162805,0.000162805,0.000162805
16,581.188,0.77185,1.19699,1.64232,0.99995,0.61971,0.63392,0.67991,0.54258,0.62407,0.63923,0.68697,0.51924,0.69975,1.0512,1.1811,0.98943,0.000160934,0.000160934,0.000160934
17,618.234,0.75217,1.19537,1.57539,0.99251,0.63421,0.65861,0.7022,0.55667,0.63642,0.66073,0.70459,0.5271,0.69455,1.03802,1.16328,0.97692,0.000159062,0.000159062,0.000159062
18,655.803,0.7569,1.17338,1.52893,0.99199,0.64796,0.65549,0.6966,0.55397,0.65408,0.65267,0.69716,0.52614,0.68627,1.03123,1.1748,0.97156,0.000157191,0.000157191,0.000157191
19,692.63,0.73332,1.17726,1.4666,0.98373,0.63379,0.70784,0.71815,0.58276,0.63959,0.71048,0.72312,0.55295,0.66688,1.01371,1.06974,0.95878,0.00015532,0.00015532,0.00015532
20,729.284,0.73907,1.16455,1.42103,0.9807,0.66326,0.70592,0.72472,0.58434,0.66628,0.70864,0.72777,0.54979,0.6611,1.02828,1.06343,0.96715,0.000153449,0.000153449,0.000153449
21,766.39,0.71587,1.13857,1.37728,0.97307,0.66664,0.69778,0.74615,0.60429,0.66866,0.70292,0.75229,0.5782,0.6571,0.99847,1.01678,0.9579,0.000151578,0.000151578,0.000151578
22,803.203,0.71434,1.13041,1.33767,0.97293,0.69885,0.70709,0.75672,0.61708,0.70582,0.71346,0.76413,0.58055,0.65408,0.98712,0.97413,0.95323,0.000149707,0.000149707,0.000149707
23,840.406,0.7136,1.14412,1.3067,0.96712,0.69781,0.72025,0.76913,0.62035,0.70495,0.72736,0.77375,0.589,0.67045,0.99197,0.97331,0.95917,0.000147836,0.000147836,0.000147836
24,877.43,0.70204,1.11365,1.27572,0.96351,0.69488,0.7471,0.78612,0.63247,0.70172,0.74835,0.79027,0.60309,0.65069,0.96616,0.94247,0.95124,0.000145965,0.000145965,0.000145965
25,915.106,0.70721,1.1243,1.25291,0.97114,0.69592,0.74667,0.77658,0.63189,0.70244,0.75257,0.78557,0.60174,0.64463,0.9601,0.91252,0.93931,0.000144094,0.000144094,0.000144094
26,951.527,0.69653,1.11194,1.24815,0.96364,0.70277,0.74505,0.79087,0.64332,0.7084,0.75093,0.7953,0.6027,0.64079,0.98938,0.91656,0.94269,0.000142222,0.000142222,0.000142222
27,988.185,0.68337,1.09149,1.19064,0.95904,0.75248,0.7247,0.79188,0.64626,0.75939,0.72886,0.79842,0.60711,0.64465,0.99564,0.90389,0.94924,0.000140351,0.000140351,0.000140351
28,1025.25,0.68314,1.08354,1.17922,0.94987,0.72084,0.76421,0.7962,0.64971,0.72328,0.76626,0.79771,0.60846,0.64221,0.9843,0.88869,0.95402,0.00013848,0.00013848,0.00013848
