epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5657,1.18225,2.80059,4.82667,1.27037,0,0,0,0,0,0,0,0,0.8816,1.99239,4.40657,1.02061,6.30588e-05,6.30588e-05,6.30588e-05
2,39.337,0.94406,1.82019,4.49051,1.06997,0.01625,0.2443,0.02971,0.02311,0.0161,0.23976,0.02665,0.01873,0.87256,1.54767,4.06862,1.03892,0.000125801,0.000125801,0.000125801
3,57.4814,0.93762,1.65844,4.16229,1.06531,0.50802,0.1268,0.06186,0.04744,0.50742,0.1251,0.06185,0.04452,0.88796,1.43349,3.50013,1.05034,0.000187276,0.000187276,0.000187276
4,75.3881,0.93658,1.53896,3.77245,1.0751,0.38282,0.15975,0.10274,0.07888,0.38391,0.16016,0.10312,0.07359,0.88227,1.3387,3.20557,1.06541,0.000186298,0.000186298,0.000186298
5,93.575,0.9571,1.49065,3.42922,1.07242,0.34293,0.18156,0.15495,0.11491,0.34317,0.18203,0.15531,0.10932,0.86644,1.25907,2.78504,1.0576,0.000184397,0.000184397,0.000184397
6,111.823,0.91881,1.39291,3.10952,1.06822,0.30872,0.25425,0.21215,0.15883,0.30967,0.25252,0.21332,0.14935,0.88051,1.31301,2.54108,1.05669,0.000182496,0.000182496,0.000182496
7,130.368,0.90979,1.37154,2.84392,1.05707,0.55121,0.25594,0.27758,0.21404,0.55363,0.25595,0.27827,0.20435,0.86994,1.23732,2.29133,1.05213,0.000180595,0.000180595,0.000180595
8,148.722,0.88538,1.34527,2.66766,1.05214,0.35387,0.34556,0.31982,0.24879,0.35557,0.34782,0.32392,0.23486,0.8347,1.20302,2.19402,1.02113,0.000178694,0.000178694,0.000178694
9,167.354,0.86955,1.34277,2.46037,1.04383,0.49139,0.38249,0.39388,0.31142,0.49018,0.38418,0.39606,0.29539,0.79051,1.21735,1.94688,1.00724,0.000176794,0.000176794,0.000176794
10,185.521,0.83074,1.27483,2.24785,1.02089,0.44538,0.43479,0.43198,0.33921,0.44243,0.43871,0.43509,0.32604,0.78877,1.1659,1.85636,0.9955,0.000174893,0.000174893,0.000174893
11,204.054,0.81269,1.25343,2.13624,1.00421,0.54897,0.44328,0.47274,0.37844,0.55204,0.4443,0.47543,0.35833,0.78213,1.16816,1.73827,1.00226,0.000172992,0.000172992,0.000172992
12,222.364,0.80644,1.24197,1.99758,1.00238,0.52977,0.53214,0.51864,0.41122,0.53121,0.53364,0.52251,0.39098,0.78897,1.16394,1.61421,0.99507,0.000171091,0.000171091,0.000171091
13,240.586,0.78074,1.21303,1.91568,0.99265,0.57232,0.54582,0.55389,0.4401,0.57201,0.54536,0.55459,0.41458,0.74546,1.12985,1.48683,0.9821,0.00016919,0.00016919,0.00016919
14,258.911,0.76151,1.1934,1.76107,0.99196,0.59855,0.57012,0.58758,0.46139,0.60087,0.56944,0.58931,0.44117,0.75636,1.16221,1.40829,0.97921,0.00016729,0.00016729,0.00016729
15,277.239,0.75849,1.16343,1.70183,0.98236,0.63972,0.57223,0.61369,0.4841,0.6399,0.57254,0.61547,0.46171,0.74009,1.11798,1.33176,0.97592,0.000165389,0.000165389,0.000165389
16,295.618,0.75385,1.17773,1.64529,0.97578,0.64218,0.59471,0.63482,0.50459,0.64282,0.59608,0.63812,0.4815,0.72596,1.10061,1.26781,0.96491,0.000163488,0.000163488,0.000163488
17,314.314,0.73668,1.15676,1.55321,0.97152,0.6539,0.59447,0.63004,0.49785,0.65557,0.59444,0.6323,0.47228,0.73141,1.10222,1.30867,0.97079,0.000161587,0.000161587,0.000161587
18,332.906,0.72448,1.15007,1.50302,0.97397,0.68093,0.62379,0.67416,0.53613,0.68371,0.62886,0.68067,0.51113,0.72572,1.08562,1.18879,0.96634,0.000159686,0.000159686,0.000159686
19,351.525,0.71089,1.12125,1.45834,0.96942,0.66498,0.6256,0.67749,0.54601,0.66624,0.62807,0.68092,0.51292,0.69101,1.06788,1.15515,0.94803,0.000157786,0.000157786,0.000157786
20,370.335,0.73166,1.14931,1.41381,0.96814,0.67171,0.66926,0.70379,0.5562,0.67432,0.67137,0.70511,0.53069,0.71482,1.09072,1.12396,0.96167,0.000155885,0.000155885,0.000155885
21,389.12,0.70455,1.1147,1.36826,0.96013,0.66516,0.67146,0.7097,0.56246,0.66408,0.67024,0.70907,0.53571,0.70496,1.06431,1.10871,0.96328,0.000153984,0.000153984,0.000153984
22,408.08,0.6923,1.10749,1.32802,0.94751,0.64095,0.69686,0.72605,0.57317,0.6391,0.69653,0.72565,0.5408,0.69728,1.08206,1.07359,0.95015,0.000152083,0.000152083,0.000152083
23,426.964,0.70193,1.11826,1.31851,0.95653,0.65105,0.72054,0.73663,0.58894,0.65527,0.71461,0.73874,0.55875,0.68727,1.0758,1.02253,0.94941,0.000150182,0.000150182,0.000150182
24,445.96,0.69102,1.09551,1.26612,0.94909,0.65112,0.71638,0.73668,0.58978,0.65434,0.71827,0.73897,0.55039,0.68876,1.06589,1.02413,0.9469,0.000148282,0.000148282,0.000148282
25,464.602,0.67066,1.07018,1.2233,0.94359,0.6864,0.68453,0.7293,0.58685,0.68741,0.6856,0.73168,0.54984,0.68109,1.04768,1.03246,0.94144,0.000146381,0.000146381,0.000146381
26,483.261,0.68152,1.09206,1.22874,0.94826,0.69091,0.71541,0.7408,0.58637,0.68949,0.71382,0.74059,0.54691,0.69794,1.08227,1.01964,0.95203,0.00014448,0.00014448,0.00014448
27,501.853,0.67007,1.07226,1.20173,0.94292,0.68078,0.72448,0.74985,0.59566,0.68189,0.72416,0.75039,0.55796,0.68722,1.06484,0.97297,0.94296,0.000142579,0.000142579,0.000142579
28,520.498,0.67388,1.06451,1.16182,0.93692,0.73385,0.72616,0.77404,0.61889,0.72915,0.72383,0.77035,0.58438,0.68685,1.03167,0.95184,0.9459,0.000140678,0.000140678,0.000140678
29,539.301,0.66776,1.07022,1.14009,0.93756,0.72231,0.75592,0.77879,0.62816,0.72322,0.75764,0.78053,0.59061,0.65599,1.03643,0.9188,0.93075,0.000138778,0.000138778,0.000138778
30,557.96,0.65875,1.05433,1.12424,0.93782,0.73253,0.73467,0.77625,0.62732,0.73246,0.73452,0.77693,0.58897,0.66383,1.01782,0.93325,0.93167,0.000136877,0.000136877,0.000136877
31,576.45,0.6588,1.06218,1.10812,0.94425,0.71184,0.75517,0.78374,0.632,0.7125,0.75607,0.78488,0.58663,0.65456,1.05869,0.89209,0.92642,0.000134976,0.000134976,0.000134976
32,595.049,0.65271,1.04434,1.08967,0.93964,0.74835,0.71211,0.78549,0.62224,0.74961,0.71474,0.78745,0.59085,0.67834,1.01548,0.9212,0.93902,0.000133075,0.000133075,0.000133075
