epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3256,1.11381,2.42152,4.54644,1.21778,0,0,0,0,0,0,0,0,0.72943,1.70253,4.01271,0.93426,0.000101435,0.000101435,0.000101435
2,19.7491,0.90345,1.62954,4.24283,1.01692,0.03104,0.13169,0.02485,0.02197,0.03104,0.13169,0.02485,0.02124,0.69171,1.34515,3.87418,0.90527,0.000203731,0.000203731,0.000203731
3,29.0568,0.88358,1.4724,3.93195,1.01001,0.04817,0.44501,0.08731,0.07358,0.04817,0.44501,0.08731,0.07,0.73067,1.28057,3.62248,0.92055,0.000303962,0.000303962,0.000303962
4,38.3839,0.87316,1.3677,3.58277,1.01506,0.46377,0.16356,0.13107,0.10925,0.46377,0.16356,0.13119,0.1048,0.73883,1.26013,2.99512,0.97745,0.000303704,0.000303704,0.000303704
5,47.7352,0.86336,1.29761,3.22864,1.02918,0.49572,0.25058,0.18893,0.15718,0.49694,0.25173,0.18997,0.15222,0.76281,1.22283,2.55788,1.02415,0.000300605,0.000300605,0.000300605
6,57.1245,0.86905,1.28665,2.99879,1.03264,0.46552,0.27542,0.25376,0.21593,0.46552,0.27542,0.25454,0.20671,0.72295,1.12299,2.35099,1.0199,0.000297507,0.000297507,0.000297507
7,66.5375,0.85082,1.27701,2.69836,1.0254,0.29808,0.40108,0.3379,0.28813,0.29741,0.40149,0.33742,0.27729,0.7376,1.11748,2.13077,1.01546,0.000294408,0.000294408,0.000294408
8,75.9804,0.81902,1.22651,2.49418,1.01161,0.35701,0.45956,0.38134,0.32339,0.35797,0.46072,0.38311,0.31067,0.74433,1.14108,1.99525,1.0161,0.000291309,0.000291309,0.000291309
9,85.5156,0.80112,1.18156,2.29659,0.98601,0.4789,0.47106,0.46418,0.39443,0.48039,0.47337,0.46647,0.37793,0.71651,1.11456,1.75838,0.99575,0.00028821,0.00028821,0.00028821
10,95.0744,0.78179,1.19421,2.12967,0.9808,0.48339,0.51725,0.50911,0.42683,0.48339,0.51725,0.50998,0.41363,0.70622,1.10512,1.68742,1.00501,0.000285112,0.000285112,0.000285112
11,104.628,0.76479,1.1515,1.97099,0.9782,0.54139,0.54374,0.55418,0.46448,0.5426,0.5449,0.55613,0.45053,0.69199,1.0912,1.64317,0.99709,0.000282013,0.000282013,0.000282013
12,114.244,0.76745,1.15761,1.89019,0.97487,0.59516,0.51977,0.57258,0.48533,0.59516,0.51977,0.57273,0.46426,0.69534,1.08986,1.74647,0.98622,0.000278914,0.000278914,0.000278914
13,123.831,0.75148,1.13823,1.77703,0.96199,0.64827,0.60656,0.65578,0.56149,0.64827,0.60656,0.65627,0.54371,0.6729,1.05844,1.44483,0.97055,0.000275816,0.000275816,0.000275816
14,133.179,0.73281,1.09499,1.65245,0.96182,0.70045,0.62163,0.68966,0.58664,0.69938,0.62309,0.69061,0.56785,0.66202,1.05707,1.40764,0.97044,0.000272717,0.000272717,0.000272717
15,142.754,0.72305,1.08992,1.5554,0.96378,0.59969,0.66948,0.68714,0.58515,0.59969,0.66948,0.68856,0.55867,0.63403,1.07157,1.27569,0.96426,0.000269618,0.000269618,0.000269618
16,152.209,0.71236,1.09493,1.49704,0.96296,0.76144,0.65342,0.74072,0.62831,0.76039,0.655,0.74168,0.60181,0.6456,1.06135,1.17825,0.95961,0.00026652,0.00026652,0.00026652
17,161.541,0.70545,1.07974,1.42347,0.94897,0.68973,0.65434,0.70145,0.59277,0.68973,0.65434,0.70156,0.56941,0.6451,1.05412,1.2338,0.956,0.000263421,0.000263421,0.000263421
18,170.861,0.69824,1.08332,1.41709,0.94908,0.7594,0.68153,0.74196,0.64369,0.7594,0.68153,0.74194,0.60415,0.61499,1.00723,1.1208,0.95107,0.000260322,0.000260322,0.000260322
19,180.204,0.68337,1.0496,1.32121,0.94284,0.70973,0.75229,0.77169,0.66571,0.70938,0.75384,0.77391,0.64071,0.63927,1.02154,1.06992,0.95502,0.000257223,0.000257223,0.000257223
20,189.61,0.67885,1.03261,1.27486,0.93849,0.786,0.6808,0.771,0.65719,0.786,0.6808,0.77179,0.63598,0.63357,1.04852,1.16427,0.94673,0.000254125,0.000254125,0.000254125
21,199.108,0.66353,1.00915,1.22609,0.94166,0.77817,0.75582,0.80244,0.68184,0.77927,0.75698,0.80354,0.65664,0.63382,1.04269,1.01089,0.95439,0.000251026,0.000251026,0.000251026
22,208.683,0.66375,1.03414,1.18109,0.93539,0.77065,0.73084,0.80866,0.6868,0.77155,0.732,0.80951,0.66744,0.6302,1.04741,1.0198,0.95985,0.000247927,0.000247927,0.000247927
23,218.105,0.65819,1.01267,1.16335,0.93222,0.77873,0.77823,0.82023,0.69983,0.77994,0.77939,0.81993,0.67154,0.62659,1.02689,0.98158,0.948,0.000244829,0.000244829,0.000244829
24,227.513,0.64016,1.00619,1.12057,0.9267,0.8174,0.74219,0.82566,0.69562,0.81848,0.74334,0.82781,0.67131,0.62645,1.02347,0.98639,0.94443,0.00024173,0.00024173,0.00024173
25,237.006,0.64766,1.00859,1.09997,0.93145,0.86221,0.76024,0.84379,0.71729,0.86521,0.76204,0.84812,0.69093,0.63828,1.02845,0.92793,0.9561,0.000238631,0.000238631,0.000238631
26,246.9,0.63511,0.96456,1.08622,0.92351,0.79498,0.75185,0.83033,0.71408,0.79498,0.75185,0.83139,0.67787,0.59944,1.03201,0.94869,0.93067,0.000235533,0.000235533,0.000235533
27,256.669,0.61405,0.95995,1.04258,0.91817,0.79774,0.78192,0.83674,0.71692,0.79906,0.78308,0.83966,0.68474,0.61179,1.00734,0.94559,0.93323,0.000232434,0.000232434,0.000232434
28,266.453,0.61981,0.96708,1.0471,0.91895,0.79518,0.80627,0.85081,0.72947,0.79578,0.80764,0.8521,0.69843,0.63058,1.02353,0.89687,0.96531,0.000229335,0.000229335,0.000229335
29,276.109,0.62384,0.98252,1.01947,0.9161,0.832,0.78397,0.84666,0.71913,0.83288,0.78512,0.84953,0.70378,0.62482,1.02851,0.88466,0.95118,0.000226236,0.000226236,0.000226236
