epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7592,1.19382,2.771,4.82238,1.27186,0,0,0,0,0,0,0,0,0.84296,1.9049,4.38327,1.01896,6.30588e-05,6.30588e-05,6.30588e-05
2,37.8802,0.96101,1.83017,4.52268,1.0724,0.01805,0.30862,0.03343,0.02557,0.01788,0.30113,0.03154,0.02321,0.82376,1.47231,3.98476,0.99235,0.000125801,0.000125801,0.000125801
3,56.2644,0.94268,1.65296,4.18845,1.06333,0.58717,0.06752,0.06283,0.04771,0.58667,0.06696,0.06354,0.04686,0.83141,1.36775,3.68146,1.02743,0.000187276,0.000187276,0.000187276
4,74.5524,0.95297,1.54319,3.84782,1.07155,0.3436,0.17377,0.10384,0.0786,0.34441,0.17621,0.10609,0.07397,0.85578,1.32732,3.15358,1.03456,0.000186298,0.000186298,0.000186298
5,92.8801,0.94171,1.50093,3.472,1.06201,0.2603,0.2057,0.13548,0.10295,0.26089,0.20693,0.13596,0.09824,0.83656,1.26846,2.75199,1.03333,0.000184397,0.000184397,0.000184397
6,111.299,0.93735,1.4227,3.14261,1.0674,0.34812,0.25278,0.21035,0.16329,0.3488,0.25118,0.21213,0.15523,0.81898,1.18909,2.57086,1.01465,0.000182496,0.000182496,0.000182496
7,129.807,0.92653,1.38418,2.89418,1.05336,0.43455,0.31424,0.30104,0.23546,0.43473,0.31874,0.30258,0.22338,0.81132,1.17385,2.21706,1.02802,0.000180595,0.000180595,0.000180595
8,148.221,0.89872,1.33834,2.66608,1.04925,0.41641,0.40464,0.36892,0.29192,0.42056,0.40997,0.37402,0.27723,0.78007,1.14776,1.99218,1.00369,0.000178694,0.000178694,0.000178694
9,166.558,0.88688,1.3342,2.48277,1.04297,0.39592,0.47533,0.4067,0.32021,0.39798,0.47996,0.40773,0.3084,0.76629,1.12674,1.91727,1.00455,0.000176794,0.000176794,0.000176794
10,184.857,0.84698,1.28462,2.30548,1.02191,0.4525,0.48211,0.46593,0.3682,0.45156,0.48533,0.4679,0.35541,0.74092,1.07672,1.73763,0.98891,0.000174893,0.000174893,0.000174893
11,203.412,0.84706,1.25554,2.16212,1.02176,0.52821,0.49043,0.52125,0.40808,0.52893,0.49156,0.52333,0.39294,0.7451,1.0852,1.66386,1.00693,0.000172992,0.000172992,0.000172992
12,222.017,0.81331,1.25269,2.01212,1.01126,0.56143,0.55766,0.56964,0.45482,0.56125,0.55746,0.57112,0.43825,0.71953,1.05645,1.54769,0.9886,0.000171091,0.000171091,0.000171091
13,240.656,0.81071,1.23851,1.91698,1.0023,0.59287,0.56067,0.60789,0.48163,0.59287,0.56067,0.60905,0.46653,0.72739,1.05348,1.43156,0.98229,0.00016919,0.00016919,0.00016919
14,259.307,0.79342,1.23482,1.83248,1.00215,0.61726,0.59969,0.65132,0.51455,0.62035,0.60275,0.65608,0.49697,0.71395,1.06525,1.31658,0.97393,0.00016729,0.00016729,0.00016729
15,278.088,0.76402,1.19859,1.73001,0.9972,0.61271,0.60865,0.65283,0.52224,0.60337,0.61312,0.65463,0.49852,0.70632,1.03598,1.28438,0.97405,0.000165389,0.000165389,0.000165389
16,296.922,0.77232,1.18396,1.65538,0.99002,0.59242,0.67201,0.68309,0.54948,0.59461,0.67461,0.68464,0.52391,0.6926,1.02353,1.23947,0.97964,0.000163488,0.000163488,0.000163488
17,315.541,0.74847,1.17899,1.59122,0.98215,0.61034,0.67785,0.71043,0.56542,0.61332,0.68045,0.71591,0.54098,0.68103,1.01222,1.15811,0.95144,0.000161587,0.000161587,0.000161587
18,334.374,0.74228,1.15812,1.53329,0.97614,0.64973,0.70094,0.72587,0.57674,0.65451,0.70294,0.73066,0.55083,0.68224,1.01087,1.124,0.95668,0.000159686,0.000159686,0.000159686
19,353.159,0.72853,1.16785,1.46319,0.97212,0.63467,0.68172,0.72288,0.57878,0.64077,0.67553,0.72413,0.55356,0.68459,1.01458,1.08488,0.95721,0.000157786,0.000157786,0.000157786
20,371.433,0.73695,1.15308,1.42981,0.9694,0.62854,0.71263,0.72462,0.5813,0.63205,0.71709,0.72972,0.54556,0.67293,1.04344,1.08958,0.95057,0.000155885,0.000155885,0.000155885
21,389.764,0.71415,1.12693,1.37773,0.96171,0.70215,0.69734,0.74986,0.60821,0.69541,0.71708,0.75726,0.57892,0.65364,0.98247,1.02501,0.93416,0.000153984,0.000153984,0.000153984
22,408.491,0.7069,1.11263,1.33535,0.96029,0.69389,0.72813,0.77518,0.62737,0.69643,0.73163,0.77928,0.5901,0.6531,0.99134,0.99199,0.93048,0.000152083,0.000152083,0.000152083
23,427.042,0.70402,1.13226,1.30624,0.95484,0.68999,0.72383,0.77249,0.62315,0.69191,0.72304,0.77384,0.58764,0.65148,0.98746,0.95305,0.93629,0.000150182,0.000150182,0.000150182
24,445.776,0.68944,1.0996,1.27798,0.94594,0.70738,0.74183,0.7738,0.62295,0.71015,0.74139,0.77983,0.59094,0.65649,0.97869,0.99109,0.93654,0.000148282,0.000148282,0.000148282
25,464.191,0.70358,1.10563,1.25069,0.95857,0.72192,0.72134,0.78663,0.63952,0.7265,0.72018,0.79074,0.60345,0.65286,0.97797,0.93958,0.93443,0.000146381,0.000146381,0.000146381
26,482.773,0.68776,1.09081,1.2427,0.94975,0.7073,0.76019,0.79305,0.65061,0.71092,0.76482,0.79573,0.60981,0.6414,0.97947,0.89594,0.92964,0.00014448,0.00014448,0.00014448
27,501.342,0.6805,1.07484,1.19088,0.94942,0.72323,0.73094,0.78992,0.6454,0.7272,0.73372,0.7938,0.60885,0.63208,0.96426,0.933,0.92743,0.000142579,0.000142579,0.000142579
28,519.877,0.67732,1.06987,1.17799,0.94044,0.69883,0.77827,0.79295,0.65188,0.70102,0.7844,0.79812,0.61068,0.62937,0.95376,0.87581,0.92542,0.000140678,0.000140678,0.000140678
29,538.587,0.66649,1.05175,1.14835,0.93726,0.73359,0.76483,0.81028,0.67058,0.73629,0.76732,0.81296,0.63207,0.62261,0.94975,0.84783,0.91618,0.000138778,0.000138778,0.000138778
30,557.396,0.68435,1.07769,1.15135,0.93829,0.71898,0.78142,0.81964,0.68225,0.7275,0.78801,0.82763,0.63621,0.6113,0.93719,0.83992,0.91126,0.000136877,0.000136877,0.000136877
31,575.722,0.65116,1.05494,1.09771,0.94174,0.73287,0.77112,0.81986,0.67624,0.73253,0.77112,0.81853,0.63625,0.62546,0.93895,0.83568,0.91331,0.000134976,0.000134976,0.000134976
32,594.17,0.66844,1.05588,1.08918,0.93844,0.74615,0.76222,0.81748,0.66828,0.75057,0.76603,0.82277,0.62016,0.63182,0.96523,0.85313,0.92122,0.000133075,0.000133075,0.000133075
33,612.357,0.65633,1.04766,1.0722,0.93464,0.69142,0.8293,0.82095,0.67888,0.69797,0.83635,0.82712,0.63089,0.61049,0.94839,0.81827,0.91777,0.000131174,0.000131174,0.000131174
34,631.015,0.64727,1.03062,1.07797,0.93222,0.69847,0.8343,0.83022,0.69251,0.69948,0.83648,0.83245,0.64554,0.60088,0.92811,0.80077,0.91051,0.000129274,0.000129274,0.000129274
