epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4086,1.08243,2.39152,4.52278,1.21524,0,0,0,0,0,0,0,0,0.82777,1.64578,4.19468,0.96406,0.000101435,0.000101435,0.000101435
2,20.1553,0.87574,1.60899,4.22121,1.01779,0.06868,0.04863,0.04212,0.03809,0.06868,0.04863,0.04212,0.03647,0.79247,1.4008,4.05603,0.93053,0.000203731,0.000203731,0.000203731
3,29.5147,0.84571,1.44891,3.90531,1.0047,0.04554,0.40843,0.07386,0.0605,0.04622,0.41127,0.0745,0.06047,0.80712,1.30194,3.78663,0.96315,0.000303962,0.000303962,0.000303962
4,38.8554,0.85785,1.35864,3.58685,1.02621,0.41432,0.09466,0.10425,0.08469,0.41432,0.09466,0.10421,0.08429,0.8144,1.3147,3.2894,0.99242,0.000303704,0.000303704,0.000303704
5,48.2835,0.85318,1.31985,3.24422,1.03694,0.21377,0.24766,0.14176,0.1146,0.21162,0.23825,0.14095,0.10964,0.8597,1.30443,2.74221,1.01403,0.000300605,0.000300605,0.000300605
6,57.6827,0.83859,1.2764,2.95845,1.03476,0.28486,0.32246,0.19896,0.16003,0.2869,0.31692,0.19929,0.15744,0.83407,1.20584,2.44552,1.06452,0.000297507,0.000297507,0.000297507
7,66.9651,0.83571,1.25813,2.69971,1.02367,0.32421,0.31903,0.28314,0.22691,0.32421,0.31903,0.28342,0.2197,0.82462,1.20096,2.23299,1.0516,0.000294408,0.000294408,0.000294408
8,76.358,0.81057,1.19583,2.45504,1.02344,0.39417,0.37445,0.34195,0.27836,0.39467,0.37515,0.34291,0.2725,0.83885,1.15151,2.16313,1.05773,0.000291309,0.000291309,0.000291309
9,85.9101,0.77791,1.17553,2.23551,0.99461,0.50752,0.40207,0.42326,0.34122,0.507,0.40632,0.42568,0.33596,0.76839,1.15709,1.83741,1.00236,0.00028821,0.00028821,0.00028821
10,95.3364,0.7756,1.17273,2.10701,1.00489,0.42506,0.42978,0.40423,0.32764,0.42661,0.43062,0.40735,0.30744,0.78109,1.26001,1.88146,1.01352,0.000285112,0.000285112,0.000285112
11,104.806,0.74814,1.12348,1.91878,0.98749,0.50299,0.49665,0.51299,0.41221,0.50221,0.49921,0.51352,0.3968,0.75943,1.13991,1.64825,1.0049,0.000282013,0.000282013,0.000282013
12,114.24,0.74288,1.13695,1.80737,0.98152,0.46311,0.51771,0.51521,0.41832,0.46311,0.51771,0.51635,0.40473,0.72927,1.11435,1.68983,0.97788,0.000278914,0.000278914,0.000278914
13,123.676,0.7544,1.14422,1.74084,0.98112,0.5785,0.52061,0.56162,0.45291,0.57913,0.52416,0.56582,0.44605,0.72826,1.08102,1.65074,0.98386,0.000275816,0.000275816,0.000275816
14,133.08,0.72763,1.10446,1.62318,0.9847,0.64471,0.56862,0.61414,0.496,0.64877,0.57094,0.61735,0.48423,0.736,1.07637,1.4763,0.9957,0.000272717,0.000272717,0.000272717
15,142.589,0.71678,1.09813,1.54624,0.97743,0.63718,0.56802,0.61347,0.49953,0.64172,0.57202,0.61786,0.4809,0.7108,1.08494,1.43166,0.98648,0.000269618,0.000269618,0.000269618
16,152.106,0.70069,1.10158,1.48926,0.96484,0.65558,0.57467,0.64082,0.51914,0.6592,0.57814,0.64598,0.49608,0.73866,1.15582,1.38454,0.99829,0.00026652,0.00026652,0.00026652
17,161.89,0.69611,1.06043,1.42887,0.95687,0.7068,0.60739,0.67883,0.55101,0.70796,0.6107,0.68285,0.54735,0.69425,1.05855,1.27499,0.96649,0.000263421,0.000263421,0.000263421
18,171.531,0.6718,1.03263,1.34563,0.95533,0.68474,0.63152,0.69632,0.57039,0.68977,0.6352,0.70035,0.55131,0.68758,1.07847,1.26022,0.97122,0.000260322,0.000260322,0.000260322
19,181.156,0.66997,1.05999,1.30052,0.94652,0.70196,0.67247,0.70736,0.57881,0.70531,0.67481,0.71016,0.55744,0.70789,1.09466,1.19352,0.97907,0.000257223,0.000257223,0.000257223
20,190.813,0.67214,1.04141,1.2857,0.95172,0.78239,0.66607,0.75721,0.61984,0.7822,0.67324,0.75939,0.59158,0.68997,1.06648,1.16567,0.96803,0.000254125,0.000254125,0.000254125
