epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.745,1.1845,2.71548,4.81423,1.27516,0,0,0,0,0,0,0,0,0.91758,2.14211,4.43236,1.03364,6.30588e-05,6.30588e-05,6.30588e-05
2,38.7566,0.93632,1.7791,4.47629,1.06729,0.0165,0.27058,0.03486,0.0276,0.01614,0.25975,0.03019,0.02145,0.92995,1.69868,4.033,1.05372,0.000125801,0.000125801,0.000125801
3,56.8003,0.91664,1.57191,4.13933,1.05867,0.4048,0.10253,0.06068,0.04685,0.40427,0.10068,0.06011,0.04249,0.94878,1.65155,3.58667,1.06675,0.000187276,0.000187276,0.000187276
4,74.9408,0.92681,1.50449,3.77589,1.0692,0.39071,0.15734,0.09742,0.07554,0.39138,0.16316,0.09793,0.07018,0.91742,1.54228,3.23315,1.07674,0.000186298,0.000186298,0.000186298
5,93.5698,0.92795,1.43251,3.4506,1.06889,0.41396,0.19935,0.14047,0.10696,0.39203,0.20318,0.14198,0.09943,0.94396,1.45989,2.82918,1.09848,0.000184397,0.000184397,0.000184397
6,111.943,0.9148,1.37886,3.093,1.06691,0.46528,0.23223,0.21698,0.16353,0.46916,0.23363,0.21897,0.1538,0.92573,1.43188,2.55731,1.06492,0.000182496,0.000182496,0.000182496
7,130.373,0.90232,1.33614,2.83377,1.05241,0.32864,0.28414,0.26044,0.19749,0.33068,0.28436,0.26021,0.18246,0.89412,1.38161,2.33058,1.05577,0.000180595,0.000180595,0.000180595
8,148.681,0.87189,1.31149,2.63781,1.0462,0.37886,0.365,0.31196,0.23793,0.38016,0.36838,0.3161,0.22682,0.88834,1.38471,2.1731,1.05817,0.000178694,0.000178694,0.000178694
9,167.059,0.85514,1.27236,2.44134,1.03929,0.43036,0.3842,0.37256,0.28307,0.43036,0.38447,0.37405,0.27082,0.86243,1.36864,1.93809,1.04885,0.000176794,0.000176794,0.000176794
10,185.627,0.82938,1.25475,2.2598,1.01961,0.51985,0.39358,0.417,0.326,0.51789,0.40096,0.42191,0.31142,0.83564,1.30429,1.82858,1.02043,0.000174893,0.000174893,0.000174893
11,204.271,0.81127,1.2451,2.12961,1.01305,0.52266,0.43978,0.45266,0.35498,0.52343,0.44066,0.45702,0.33046,0.80123,1.28987,1.74639,1.01066,0.000172992,0.000172992,0.000172992
12,222.92,0.79416,1.2128,2.00138,1.00695,0.5506,0.4743,0.48848,0.3828,0.55206,0.47534,0.49167,0.36303,0.82761,1.31864,1.61804,1.01275,0.000171091,0.000171091,0.000171091
13,241.433,0.7938,1.21988,1.90274,0.9987,0.54084,0.48288,0.52552,0.40925,0.54915,0.48652,0.53125,0.38708,0.80513,1.278,1.50704,1.00049,0.00016919,0.00016919,0.00016919
14,259.978,0.75697,1.17114,1.73985,0.99015,0.59763,0.4806,0.55511,0.4346,0.60265,0.48484,0.55812,0.40843,0.78527,1.26578,1.43112,0.9949,0.00016729,0.00016729,0.00016729
15,278.078,0.7481,1.15337,1.69552,0.98767,0.59657,0.55498,0.57709,0.45208,0.60123,0.56152,0.58376,0.42402,0.77847,1.27261,1.38678,0.97788,0.000165389,0.000165389,0.000165389
16,296.62,0.75174,1.1511,1.61335,0.97847,0.57426,0.58919,0.58813,0.46274,0.57817,0.59218,0.59108,0.43133,0.76131,1.26821,1.34342,0.98343,0.000163488,0.000163488,0.000163488
17,315.365,0.73481,1.14451,1.53472,0.97328,0.57907,0.5872,0.61519,0.48362,0.58497,0.59039,0.62165,0.45149,0.7757,1.27727,1.2961,0.99996,0.000161587,0.000161587,0.000161587
18,334.254,0.72041,1.11055,1.45836,0.9721,0.6137,0.60675,0.62148,0.49098,0.61751,0.6116,0.62342,0.46571,0.75348,1.22943,1.28498,0.97532,0.000159686,0.000159686,0.000159686
19,353.104,0.70447,1.1252,1.42436,0.96177,0.67046,0.59206,0.64879,0.5134,0.67446,0.59708,0.65175,0.47837,0.74178,1.23739,1.20775,0.96647,0.000157786,0.000157786,0.000157786
20,371.984,0.70161,1.09704,1.35434,0.96107,0.66824,0.61151,0.64887,0.51893,0.67554,0.61818,0.65511,0.4831,0.7343,1.21723,1.20602,0.97022,0.000155885,0.000155885,0.000155885
21,390.57,0.69684,1.08362,1.36279,0.95564,0.6032,0.66524,0.65628,0.51688,0.60805,0.67085,0.6604,0.48365,0.74296,1.21675,1.23274,0.97209,0.000153984,0.000153984,0.000153984
22,409.238,0.69194,1.0994,1.29935,0.94926,0.62885,0.64611,0.67802,0.53952,0.6321,0.64952,0.68018,0.50487,0.72764,1.20178,1.12475,0.96573,0.000152083,0.000152083,0.000152083
23,427.752,0.68235,1.09239,1.27914,0.95025,0.63464,0.65418,0.67917,0.53883,0.64119,0.65804,0.68471,0.50719,0.72232,1.20109,1.07775,0.95642,0.000150182,0.000150182,0.000150182
24,446.373,0.6745,1.05792,1.25321,0.94405,0.64853,0.70389,0.70751,0.56526,0.64661,0.70945,0.70959,0.52883,0.69886,1.1701,1.07563,0.94097,0.000148282,0.000148282,0.000148282
25,464.88,0.65882,1.04392,1.22175,0.9422,0.6927,0.6488,0.70221,0.56256,0.6893,0.65625,0.70425,0.52172,0.71878,1.1739,1.06004,0.95912,0.000146381,0.000146381,0.000146381
26,483.393,0.67121,1.05581,1.19783,0.94564,0.68569,0.68638,0.71226,0.57085,0.68882,0.68665,0.71307,0.52884,0.7021,1.18536,1.03414,0.95246,0.00014448,0.00014448,0.00014448
27,502.004,0.65992,1.04614,1.1613,0.93733,0.68191,0.70812,0.72424,0.58078,0.68378,0.70991,0.72368,0.53333,0.70244,1.25217,0.99832,0.94662,0.000142579,0.000142579,0.000142579
28,520.594,0.65598,1.04182,1.12671,0.93806,0.75333,0.6487,0.7264,0.58512,0.78081,0.63913,0.7269,0.54267,0.69964,1.16589,0.99217,0.95086,0.000140678,0.000140678,0.000140678
29,539.333,0.65265,1.04318,1.13465,0.93164,0.7075,0.71218,0.73484,0.58669,0.70599,0.71183,0.73438,0.54689,0.68837,1.16208,0.98351,0.94456,0.000138778,0.000138778,0.000138778
30,558.222,0.64066,1.01282,1.10917,0.93313,0.67934,0.71809,0.72268,0.58154,0.68018,0.72144,0.72464,0.54274,0.69932,1.16178,1.0204,0.94867,0.000136877,0.000136877,0.000136877
31,577.356,0.63889,1.0139,1.08738,0.93141,0.73514,0.68504,0.74208,0.59772,0.73359,0.69634,0.74527,0.56256,0.68195,1.16175,0.94254,0.93758,0.000134976,0.000134976,0.000134976
