epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7933,1.16491,2.75604,4.80047,1.25713,0,0,0,0,0,0,0,0,0.84527,1.92852,4.4017,0.99996,6.30588e-05,6.30588e-05,6.30588e-05
2,37.3682,0.95287,1.83322,4.50622,1.07471,0.01812,0.25606,0.03223,0.02466,0.01751,0.24116,0.02966,0.02102,0.84061,1.4921,4.03926,1.00533,0.000125801,0.000125801,0.000125801
3,55.3812,0.94192,1.62394,4.15773,1.06584,0.43089,0.1151,0.06377,0.04638,0.4305,0.11426,0.06288,0.04139,0.83684,1.36107,3.50198,1.00768,0.000187276,0.000187276,0.000187276
4,73.2804,0.93257,1.53816,3.78388,1.06899,0.44382,0.13941,0.10186,0.07569,0.44233,0.13819,0.10069,0.07208,0.8704,1.28453,3.11707,1.04238,0.000186298,0.000186298,0.000186298
5,91.6819,0.94334,1.46007,3.4563,1.07585,0.37622,0.22184,0.14632,0.11072,0.37871,0.22143,0.14605,0.1032,0.83581,1.28466,2.78753,1.02259,0.000184397,0.000184397,0.000184397
6,109.836,0.9189,1.38778,3.13755,1.06363,0.3979,0.32182,0.25351,0.19947,0.39723,0.3206,0.25123,0.18696,0.82549,1.19245,2.45717,1.00891,0.000182496,0.000182496,0.000182496
7,128.195,0.91735,1.37966,2.87359,1.06427,0.4151,0.30205,0.27309,0.21426,0.41529,0.29995,0.27171,0.20274,0.81934,1.18423,2.32226,1.01785,0.000180595,0.000180595,0.000180595
8,146.365,0.90204,1.36737,2.69292,1.06069,0.37766,0.36022,0.33711,0.26844,0.43861,0.34476,0.3395,0.25027,0.7859,1.16063,2.05901,0.98941,0.000178694,0.000178694,0.000178694
9,164.681,0.88843,1.35791,2.49151,1.04698,0.5278,0.39181,0.3947,0.31297,0.52816,0.39221,0.39696,0.29685,0.77034,1.12874,1.91265,0.97412,0.000176794,0.000176794,0.000176794
10,183.212,0.86389,1.31258,2.33653,1.03962,0.45579,0.43232,0.43867,0.34728,0.45636,0.43289,0.43943,0.32787,0.76161,1.11463,1.76931,0.97664,0.000174893,0.000174893,0.000174893
11,201.491,0.82363,1.23963,2.14724,1.0185,0.56462,0.45177,0.49879,0.40079,0.56365,0.45135,0.49691,0.37931,0.76098,1.13573,1.69631,0.97191,0.000172992,0.000172992,0.000172992
12,219.933,0.82415,1.25832,2.05301,1.01718,0.58824,0.53055,0.545,0.44014,0.58905,0.53098,0.54545,0.41585,0.71817,1.10486,1.50165,0.95065,0.000171091,0.000171091,0.000171091
13,238.805,0.80035,1.25553,1.91428,0.99971,0.59061,0.58877,0.5839,0.46949,0.6047,0.58466,0.58688,0.44504,0.70166,1.03978,1.39502,0.94982,0.00016919,0.00016919,0.00016919
14,257.499,0.79219,1.2181,1.80672,0.99926,0.60234,0.58383,0.59686,0.47533,0.60443,0.58657,0.59937,0.4536,0.72426,1.08554,1.35938,0.95205,0.00016729,0.00016729,0.00016729
15,275.702,0.78267,1.21672,1.74821,1.00024,0.58773,0.60283,0.62198,0.49901,0.58739,0.60245,0.62236,0.46768,0.70221,1.05157,1.3091,0.94556,0.000165389,0.000165389,0.000165389
16,293.94,0.7538,1.16082,1.632,0.988,0.67007,0.62442,0.66298,0.53337,0.67053,0.62387,0.66287,0.49906,0.68954,1.06007,1.23687,0.93501,0.000163488,0.000163488,0.000163488
17,312.523,0.74473,1.16582,1.57123,0.97706,0.64835,0.63644,0.69025,0.55985,0.64807,0.63606,0.68803,0.52718,0.67101,1.02461,1.1082,0.92762,0.000161587,0.000161587,0.000161587
18,331.194,0.7437,1.14433,1.50245,0.9822,0.66511,0.64253,0.68707,0.55755,0.66652,0.6446,0.68922,0.52213,0.67292,1.02443,1.13205,0.92812,0.000159686,0.000159686,0.000159686
19,349.724,0.73142,1.17252,1.45064,0.97488,0.67385,0.64685,0.70345,0.56543,0.67905,0.65113,0.708,0.52993,0.67463,1.04301,1.06965,0.92657,0.000157786,0.000157786,0.000157786
20,368.227,0.72244,1.14451,1.39416,0.96734,0.69717,0.67994,0.72031,0.57655,0.69639,0.68017,0.71758,0.53566,0.68233,1.06981,1.05925,0.94072,0.000155885,0.000155885,0.000155885
