epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.585,1.1215,2.43334,4.54585,1.23627,0,0,0,0,0,0,0,0,0.80677,1.88681,4.08309,0.96546,0.000101435,0.000101435,0.000101435
2,20.5331,0.90477,1.63743,4.2313,1.02493,0.03651,0.12579,0.0291,0.02562,0.03651,0.12579,0.0291,0.0239,0.73767,1.50051,3.96727,0.907,0.000203731,0.000203731,0.000203731
3,30.0973,0.84236,1.44082,3.92312,1.0059,0.03862,0.43396,0.07428,0.05873,0.03865,0.43459,0.07429,0.06077,0.77132,1.43556,3.73751,0.93721,0.000303962,0.000303962,0.000303962
4,39.5623,0.84693,1.32321,3.57336,1.02035,0.52814,0.07956,0.12035,0.09552,0.52814,0.07956,0.12011,0.08914,0.80824,1.44682,3.30257,0.97855,0.000303704,0.000303704,0.000303704
5,49.0614,0.85451,1.29425,3.2327,1.03053,0.28097,0.27442,0.17981,0.14478,0.28011,0.27399,0.17981,0.14033,0.80596,1.35944,2.6347,1.00274,0.000300605,0.000300605,0.000300605
6,58.7131,0.88006,1.28417,2.97324,1.03555,0.34099,0.32085,0.22709,0.18826,0.3407,0.31931,0.22617,0.17935,0.76278,1.27904,2.40277,0.98734,0.000297507,0.000297507,0.000297507
7,68.3193,0.83287,1.24155,2.68118,1.01701,0.31758,0.36001,0.2783,0.23079,0.31758,0.36001,0.2779,0.21824,0.74699,1.29225,2.2081,0.97721,0.000294408,0.000294408,0.000294408
8,77.7797,0.81677,1.20641,2.45168,1.01632,0.41588,0.40315,0.37462,0.31005,0.41502,0.40297,0.37398,0.29591,0.74221,1.26531,2.02506,0.96033,0.000291309,0.000291309,0.000291309
9,87.2424,0.81246,1.19939,2.28406,1.00418,0.38734,0.43966,0.40832,0.34346,0.38679,0.43907,0.40787,0.32525,0.692,1.2149,1.89097,0.9403,0.00028821,0.00028821,0.00028821
10,96.7581,0.8046,1.20489,2.1684,1.00442,0.47397,0.48472,0.49858,0.4197,0.47523,0.4862,0.49964,0.39551,0.69507,1.17164,1.68959,0.95091,0.000285112,0.000285112,0.000285112
11,106.24,0.78104,1.1658,1.96032,0.99954,0.4771,0.52427,0.54044,0.44868,0.52354,0.51768,0.53947,0.43353,0.68886,1.18868,1.61957,0.95192,0.000282013,0.000282013,0.000282013
12,115.727,0.76883,1.16156,1.89555,0.97927,0.65498,0.48602,0.58445,0.48214,0.65498,0.48602,0.58388,0.46353,0.6959,1.23145,1.50882,0.94743,0.000278914,0.000278914,0.000278914
13,125.074,0.75221,1.14582,1.79149,0.9756,0.63849,0.55761,0.6156,0.51163,0.63766,0.55607,0.61498,0.48798,0.68456,1.15302,1.40671,0.9324,0.000275816,0.000275816,0.000275816
14,134.496,0.72391,1.09979,1.66487,0.96944,0.6095,0.56959,0.64325,0.536,0.60734,0.56967,0.64216,0.51767,0.65823,1.1757,1.38705,0.92032,0.000272717,0.000272717,0.000272717
15,143.946,0.70009,1.0595,1.57197,0.96137,0.65745,0.56311,0.66225,0.54653,0.6544,0.56156,0.65998,0.52215,0.66941,1.20522,1.38672,0.9185,0.000269618,0.000269618,0.000269618
16,153.565,0.70194,1.07649,1.49658,0.96989,0.63104,0.67375,0.69752,0.56549,0.63263,0.67169,0.69345,0.53556,0.70723,1.24776,1.27139,0.94763,0.00026652,0.00026652,0.00026652
17,163.295,0.71247,1.08078,1.46659,0.95481,0.65255,0.6982,0.73341,0.61395,0.65255,0.6982,0.73347,0.58978,0.63926,1.14288,1.18816,0.91653,0.000263421,0.000263421,0.000263421
18,172.889,0.7054,1.06289,1.42579,0.95999,0.69842,0.66039,0.73387,0.61538,0.69981,0.66187,0.73479,0.58522,0.63552,1.15409,1.20034,0.91669,0.000260322,0.000260322,0.000260322
19,182.494,0.66391,1.02166,1.35601,0.93736,0.76522,0.69563,0.76353,0.6404,0.76522,0.69563,0.76262,0.60959,0.62926,1.1064,1.11458,0.91198,0.000257223,0.000257223,0.000257223
20,192.135,0.65466,1.03231,1.3003,0.93791,0.7898,0.68789,0.7827,0.65595,0.7898,0.68789,0.78286,0.62997,0.62377,1.12994,1.11575,0.90508,0.000254125,0.000254125,0.000254125
21,201.857,0.6528,1.01679,1.25934,0.9357,0.78333,0.70329,0.78567,0.65186,0.78202,0.70174,0.78152,0.62311,0.63821,1.12861,1.08551,0.91336,0.000251026,0.000251026,0.000251026
22,211.657,0.67022,1.04724,1.22715,0.93268,0.7548,0.66997,0.76574,0.63351,0.75391,0.66821,0.76209,0.60239,0.64894,1.17156,1.10481,0.92283,0.000247927,0.000247927,0.000247927
23,221.363,0.66687,1.0317,1.22129,0.94055,0.76514,0.7744,0.82941,0.69505,0.76361,0.77286,0.82827,0.66675,0.61112,1.11348,0.94378,0.89969,0.000244829,0.000244829,0.000244829
24,230.94,0.63278,0.97032,1.14455,0.93732,0.7698,0.76009,0.82349,0.68744,0.7698,0.76009,0.8236,0.65405,0.61584,1.13171,0.95697,0.90033,0.00024173,0.00024173,0.00024173
25,240.578,0.63684,1.02081,1.13474,0.93034,0.77403,0.77676,0.82622,0.69111,0.77271,0.77522,0.82283,0.65845,0.62272,1.11684,0.93315,0.90553,0.000238631,0.000238631,0.000238631
26,250.335,0.63408,0.97912,1.12067,0.92641,0.8067,0.72882,0.82827,0.68726,0.80516,0.72728,0.82595,0.65767,0.61006,1.1275,0.97613,0.89841,0.000235533,0.000235533,0.000235533
27,259.979,0.62688,0.9811,1.08608,0.92855,0.85091,0.74819,0.84484,0.70038,0.84559,0.74529,0.84021,0.67182,0.61826,1.09923,0.89755,0.90158,0.000232434,0.000232434,0.000232434
28,269.705,0.61627,0.95659,1.05175,0.92057,0.76663,0.76448,0.84125,0.70222,0.76123,0.76499,0.84036,0.66591,0.60353,1.11819,0.90633,0.9009,0.000229335,0.000229335,0.000229335
29,279.407,0.63161,0.97444,1.05389,0.92555,0.81071,0.78522,0.86303,0.73466,0.80893,0.78368,0.86281,0.70049,0.57929,1.08501,0.85539,0.88992,0.000226236,0.000226236,0.000226236
30,289.166,0.60871,0.93794,1.02477,0.91896,0.79303,0.81821,0.85254,0.7087,0.79451,0.81969,0.85448,0.67513,0.61718,1.16832,0.89647,0.9077,0.000223138,0.000223138,0.000223138
31,298.911,0.60515,0.94834,1.00281,0.91816,0.82322,0.77283,0.85693,0.72385,0.82137,0.77155,0.85483,0.68615,0.58486,1.10882,0.84894,0.88354,0.000220039,0.000220039,0.000220039
32,308.489,0.60714,0.9569,0.98775,0.91482,0.80978,0.79788,0.86892,0.72381,0.80796,0.79634,0.86749,0.7003,0.61069,1.1333,0.84197,0.90665,0.00021694,0.00021694,0.00021694
33,318.156,0.60469,0.96927,0.97628,0.91693,0.80117,0.78555,0.85904,0.71908,0.79743,0.7828,0.8539,0.68271,0.6088,1.13113,0.88666,0.90187,0.000213842,0.000213842,0.000213842
34,327.968,0.59389,0.94263,0.96191,0.91051,0.81148,0.78946,0.87676,0.73257,0.81295,0.79094,0.87382,0.69412,0.59092,1.13574,0.81447,0.88987,0.000210743,0.000210743,0.000210743
35,337.722,0.58928,0.91805,0.91446,0.9074,0.82511,0.81973,0.89044,0.75167,0.82668,0.82121,0.88935,0.71818,0.58809,1.10188,0.77412,0.8934,0.000207644,0.000207644,0.000207644
36,347.555,0.5869,0.93655,0.91981,0.91107,0.81079,0.84161,0.89553,0.74453,0.80875,0.84217,0.89314,0.71364,0.58619,1.12099,0.79576,0.88996,0.000204545,0.000204545,0.000204545
37,357.315,0.57921,0.92947,0.91407,0.90124,0.84265,0.81618,0.89613,0.74943,0.83919,0.81321,0.89163,0.71003,0.5815,1.09724,0.76835,0.88941,0.000201447,0.000201447,0.000201447
38,367.041,0.58177,0.93296,0.87872,0.90883,0.8071,0.82206,0.88583,0.74515,0.8071,0.82206,0.88236,0.7078,0.57499,1.15577,0.7884,0.88599,0.000198348,0.000198348,0.000198348
39,376.629,0.57325,0.90593,0.892,0.90977,0.79503,0.8351,0.87717,0.738,0.79343,0.83356,0.8754,0.69765,0.57823,1.14025,0.82655,0.879,0.000195249,0.000195249,0.000195249
40,386.35,0.56441,0.89915,0.86862,0.90947,0.83135,0.83144,0.89392,0.75699,0.83778,0.81572,0.88869,0.70663,0.56625,1.11018,0.75679,0.87593,0.000192151,0.000192151,0.000192151
41,396.005,0.56517,0.89212,0.85898,0.89972,0.83967,0.8488,0.91108,0.76669,0.83358,0.8457,0.90423,0.7273,0.57601,1.1193,0.73797,0.89042,0.000189052,0.000189052,0.000189052
42,405.621,0.56505,0.89739,0.8529,0.89915,0.77029,0.88798,0.90484,0.76746,0.771,0.88699,0.90626,0.72755,0.56163,1.14827,0.72962,0.87643,0.000185953,0.000185953,0.000185953
43,415.293,0.55724,0.8822,0.83509,0.89894,0.85711,0.82941,0.89863,0.7662,0.85408,0.82803,0.89618,0.72015,0.55391,1.0967,0.76214,0.87248,0.000182855,0.000182855,0.000182855
44,424.835,0.55779,0.88893,0.82068,0.89841,0.84946,0.84161,0.90122,0.76426,0.85041,0.84154,0.89775,0.72445,0.56548,1.09236,0.73974,0.88053,0.000179756,0.000179756,0.000179756
45,434.539,0.56093,0.89757,0.81268,0.89359,0.84215,0.8184,0.89732,0.76093,0.84215,0.8184,0.89795,0.72217,0.55261,1.09108,0.7305,0.8752,0.000176657,0.000176657,0.000176657
46,444.237,0.56547,0.90118,0.84222,0.90222,0.87689,0.83282,0.90809,0.77568,0.87689,0.83282,0.90849,0.73388,0.55325,1.08506,0.73378,0.87713,0.000173559,0.000173559,0.000173559
47,454.046,0.54636,0.86571,0.78976,0.89635,0.8053,0.8727,0.90204,0.76772,0.8038,0.87115,0.89966,0.72001,0.54637,1.10061,0.7252,0.87647,0.00017046,0.00017046,0.00017046
48,463.652,0.53465,0.84363,0.77064,0.89128,0.848,0.84972,0.9105,0.76461,0.84059,0.84509,0.90443,0.72056,0.57717,1.09158,0.74647,0.88322,0.000167361,0.000167361,0.000167361
49,473.333,0.55169,0.89402,0.79598,0.89679,0.83608,0.84063,0.90918,0.76567,0.82866,0.83621,0.90294,0.72557,0.56613,1.1025,0.71656,0.88485,0.000164262,0.000164262,0.000164262
50,482.878,0.53703,0.85698,0.77477,0.88976,0.83828,0.83977,0.90982,0.78273,0.83663,0.83858,0.90846,0.73779,0.55335,1.06367,0.68923,0.88069,0.000161164,0.000161164,0.000161164
51,492.619,0.53649,0.85482,0.77234,0.89309,0.84458,0.85095,0.90536,0.77192,0.84308,0.84941,0.90244,0.72503,0.56446,1.09512,0.69765,0.88157,0.000158065,0.000158065,0.000158065
52,502.357,0.53976,0.86543,0.76593,0.89448,0.81568,0.86186,0.90344,0.77085,0.81551,0.86207,0.90064,0.72167,0.55171,1.11957,0.71073,0.87671,0.000154966,0.000154966,0.000154966
53,512.064,0.51927,0.84255,0.74735,0.8818,0.8415,0.83963,0.90636,0.77296,0.84003,0.83802,0.90101,0.71825,0.5651,1.11713,0.7187,0.87912,0.000151868,0.000151868,0.000151868
54,521.73,0.52072,0.84033,0.74969,0.88499,0.86179,0.864,0.92276,0.79442,0.8598,0.86297,0.92194,0.74931,0.5255,1.11517,0.66129,0.86341,0.000148769,0.000148769,0.000148769
