epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,554.477,0.68268,1.06786,1.14775,0.94954,0.72612,0.77777,0.8161,0.66947,0.74097,0.76664,0.81646,0.62289,0.62028,0.96622,0.84567,0.90031,0.000136877,0.000136877,0.000136877
31,573.033,0.66259,1.05104,1.12377,0.94729,0.78429,0.78204,0.82942,0.6924,0.78429,0.78204,0.82892,0.64443,0.59155,0.96544,0.82076,0.89051,0.000134976,0.000134976,0.000134976
32,591.65,0.66207,1.06186,1.09469,0.94301,0.75979,0.80356,0.83708,0.69678,0.7585,0.80175,0.8344,0.65236,0.60522,0.96197,0.80669,0.89912,0.000133075,0.000133075,0.000133075
33,610.242,0.66466,1.05563,1.10907,0.94042,0.79563,0.78295,0.84187,0.69941,0.79721,0.78455,0.84373,0.6587,0.60255,0.95332,0.7924,0.89737,0.000131174,0.000131174,0.000131174
34,628.963,0.65625,1.05516,1.09405,0.94265,0.7766,0.80232,0.83436,0.69672,0.77686,0.80025,0.83141,0.6568,0.59236,0.95527,0.78937,0.89439,0.000129274,0.000129274,0.000129274
35,647.409,0.64714,1.03794,1.0514,0.92983,0.78608,0.80124,0.8446,0.70807,0.78714,0.79871,0.84286,0.66182,0.59147,0.94561,0.78592,0.88919,0.000127373,0.000127373,0.000127373
36,666.06,0.64885,1.03974,1.04714,0.9291,0.80515,0.77944,0.83781,0.70254,0.80491,0.78036,0.83731,0.65561,0.59256,0.96317,0.79129,0.89072,0.000125472,0.000125472,0.000125472
37,684.624,0.65035,1.04048,1.04467,0.9329,0.79521,0.81426,0.84656,0.71158,0.79545,0.81333,0.84613,0.66412,0.58781,0.95106,0.77985,0.88912,0.000123571,0.000123571,0.000123571
38,703.519,0.64151,1.01867,1.02072,0.92608,0.79879,0.81405,0.84373,0.70323,0.79879,0.81405,0.84348,0.65637,0.59262,0.97489,0.76891,0.88725,0.00012167,0.00012167,0.00012167
39,721.818,0.64428,1.01252,1.02742,0.93424,0.81897,0.78328,0.84958,0.7143,0.81911,0.78589,0.84938,0.66545,0.57758,0.96799,0.76708,0.88137,0.00011977,0.00011977,0.00011977
40,740.343,0.63373,1.01069,1.0062,0.92544,0.82112,0.80375,0.85018,0.71679,0.82067,0.80656,0.85289,0.67402,0.57335,0.93537,0.74694,0.87324,0.000117869,0.000117869,0.000117869
41,758.954,0.62859,1.01893,0.97713,0.92306,0.85177,0.7907,0.86107,0.72693,0.85271,0.78939,0.85834,0.67103,0.57194,0.95903,0.74401,0.87933,0.000115968,0.000115968,0.000115968
42,777.577,0.62488,1.00365,0.97492,0.92622,0.80263,0.81881,0.86114,0.72674,0.80108,0.81757,0.85893,0.67546,0.57181,0.92399,0.73936,0.88045,0.000114067,0.000114067,0.000114067
43,795.85,0.61331,1.00072,0.96448,0.9235,0.77282,0.82592,0.85517,0.72194,0.77602,0.82867,0.85499,0.66953,0.57312,0.92484,0.74781,0.87826,0.000112166,0.000112166,0.000112166
44,813.988,0.61546,0.97906,0.94028,0.91909,0.80584,0.82,0.85383,0.72022,0.80741,0.82169,0.85554,0.6665,0.57791,0.93129,0.76547,0.87915,0.000110266,0.000110266,0.000110266
45,832.368,0.6164,0.99458,0.93684,0.91864,0.81695,0.82166,0.86063,0.72993,0.81853,0.82326,0.86043,0.67544,0.56145,0.91821,0.72644,0.87305,0.000108365,0.000108365,0.000108365
46,850.873,0.60784,0.97863,0.9198,0.91837,0.79709,0.83972,0.86184,0.72705,0.79973,0.84159,0.86097,0.67111,0.56557,0.91153,0.72201,0.87685,0.000106464,0.000106464,0.000106464
